parents_occupation,child_nursery,family_form,num_children,housing,financial_standing,social_conditions,health_conditions,application_decision
usual,proper,complete,,critical,convenient,slightly problematic,recommended,priority
,proper,complete,2,,convenient,slightly problematic,priority,priority
usual,,complete,2,,convenient,slightly problematic,not recommended,not recommended
usual,proper,complete,2,critical,convenient,problematic,recommended,priority
usual,,complete,2,critical,,problematic,priority,priority
,proper,complete,2,critical,convenient,,not recommended,not recommended
usual,proper,complete,2,critical,inconvenient,non-problematic,,
usual,,complete,2,critical,inconvenient,non-problematic,priority,priority
usual,proper,complete,2,critical,inconvenient,non-problematic,not recommended,not recommended
usual,proper,complete,2,critical,inconvenient,slightly problematic,,priority
usual,proper,complete,2,critical,inconvenient,slightly problematic,priority,priority
,proper,complete,2,critical,inconvenient,slightly problematic,not recommended,not recommended
,proper,complete,2,critical,inconvenient,problematic,recommended,priority
usual,proper,complete,,critical,inconvenient,,priority,priority
usual,proper,complete,2,critical,inconvenient,problematic,not recommended,not recommended
usual,proper,,3,convenient,,non-problematic,recommended,very recommended
usual,proper,,3,convenient,convenient,non-problematic,priority,priority
usual,proper,complete,3,convenient,,non-problematic,not recommended,not recommended
usual,proper,complete,3,convenient,convenient,slightly problematic,recommended,very recommended
usual,proper,complete,3,convenient,,slightly problematic,priority,priority
usual,proper,,3,convenient,convenient,slightly problematic,not recommended,not recommended
usual,proper,complete,3,,convenient,problematic,recommended,
usual,proper,complete,,convenient,convenient,problematic,priority,priority
usual,proper,complete,,convenient,,problematic,not recommended,not recommended
usual,proper,complete,3,convenient,inconvenient,non-problematic,recommended,priority
usual,proper,complete,3,convenient,inconvenient,non-problematic,priority,priority
usual,,,3,convenient,inconvenient,non-problematic,not recommended,not recommended
usual,,complete,3,convenient,inconvenient,slightly problematic,recommended,priority
usual,proper,complete,3,convenient,inconvenient,slightly problematic,priority,priority
usual,proper,,3,convenient,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,complete,3,convenient,inconvenient,problematic,recommended,priority
,proper,complete,3,convenient,inconvenient,problematic,priority,priority
usual,,complete,3,convenient,inconvenient,problematic,,not recommended
usual,,complete,3,less convenient,convenient,non-problematic,recommended,priority
usual,proper,complete,3,less convenient,convenient,non-problematic,priority,priority
usual,proper,complete,3,less convenient,convenient,non-problematic,,not recommended
usual,proper,complete,3,less convenient,convenient,slightly problematic,,priority
usual,proper,complete,3,less convenient,convenient,slightly problematic,priority,priority
usual,proper,complete,3,less convenient,convenient,slightly problematic,not recommended,
usual,proper,,3,less convenient,convenient,,recommended,priority
usual,proper,complete,3,,,problematic,priority,priority
usual,proper,complete,3,less convenient,convenient,problematic,not recommended,not recommended
usual,,complete,3,less convenient,inconvenient,non-problematic,recommended,priority
usual,proper,complete,3,less convenient,inconvenient,non-problematic,priority,priority
,proper,complete,3,less convenient,inconvenient,non-problematic,not recommended,not recommended
usual,proper,complete,3,less convenient,,slightly problematic,recommended,priority
usual,proper,complete,3,less convenient,inconvenient,slightly problematic,,priority
usual,proper,complete,3,,,slightly problematic,not recommended,not recommended
usual,proper,complete,3,,inconvenient,problematic,recommended,priority
usual,proper,complete,3,less convenient,,problematic,priority,
usual,,,3,less convenient,inconvenient,problematic,not recommended,not recommended
usual,proper,complete,3,,convenient,,recommended,priority
usual,proper,complete,3,critical,,non-problematic,priority,priority
usual,proper,complete,3,,,non-problematic,not recommended,not recommended
usual,proper,complete,3,critical,convenient,slightly problematic,recommended,priority
usual,proper,complete,3,critical,convenient,,,priority
usual,proper,complete,3,critical,convenient,slightly problematic,not recommended,
usual,proper,complete,3,critical,convenient,problematic,recommended,priority
usual,proper,complete,3,critical,convenient,problematic,priority,priority
usual,proper,complete,3,critical,convenient,problematic,not recommended,not recommended
usual,proper,complete,3,critical,inconvenient,non-problematic,recommended,priority
usual,proper,complete,3,critical,,non-problematic,priority,priority
usual,proper,complete,3,critical,inconvenient,non-problematic,,not recommended
usual,proper,complete,3,critical,inconvenient,slightly problematic,recommended,priority
,proper,complete,,critical,inconvenient,slightly problematic,priority,priority
,proper,complete,3,,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,complete,3,,inconvenient,problematic,recommended,priority
usual,,complete,3,critical,inconvenient,problematic,priority,priority
usual,proper,complete,3,critical,,problematic,not recommended,not recommended
usual,proper,complete,more than 3,convenient,convenient,non-problematic,,very recommended
usual,proper,complete,more than 3,convenient,convenient,non-problematic,priority,priority
usual,proper,complete,more than 3,convenient,convenient,non-problematic,,not recommended
usual,proper,complete,more than 3,convenient,convenient,slightly problematic,recommended,
usual,proper,complete,more than 3,convenient,convenient,slightly problematic,priority,
usual,proper,complete,more than 3,convenient,convenient,slightly problematic,not recommended,not recommended
usual,,complete,,convenient,convenient,problematic,recommended,
usual,proper,complete,more than 3,convenient,convenient,problematic,priority,priority
usual,proper,complete,more than 3,convenient,convenient,problematic,not recommended,not recommended
usual,proper,complete,more than 3,convenient,inconvenient,non-problematic,recommended,priority
,proper,complete,more than 3,convenient,inconvenient,non-problematic,priority,priority
usual,proper,complete,more than 3,convenient,inconvenient,non-problematic,not recommended,not recommended
usual,,complete,more than 3,convenient,inconvenient,slightly problematic,recommended,priority
,,complete,more than 3,convenient,inconvenient,slightly problematic,priority,priority
usual,proper,complete,more than 3,convenient,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,complete,more than 3,,,problematic,recommended,priority
usual,proper,,more than 3,,inconvenient,problematic,priority,priority
usual,proper,complete,more than 3,convenient,inconvenient,problematic,not recommended,not recommended
usual,,complete,more than 3,less convenient,convenient,non-problematic,recommended,
usual,proper,complete,more than 3,less convenient,convenient,non-problematic,priority,priority
usual,proper,complete,more than 3,less convenient,convenient,,not recommended,not recommended
usual,proper,complete,,less convenient,convenient,slightly problematic,,priority
usual,proper,complete,more than 3,less convenient,convenient,slightly problematic,priority,priority
usual,proper,complete,more than 3,less convenient,convenient,slightly problematic,not recommended,not recommended
usual,proper,,more than 3,less convenient,convenient,problematic,recommended,priority
usual,proper,complete,more than 3,less convenient,convenient,problematic,priority,priority
usual,proper,complete,,,convenient,problematic,not recommended,not recommended
usual,proper,complete,more than 3,less convenient,inconvenient,non-problematic,recommended,priority
usual,,complete,more than 3,,inconvenient,,priority,priority
usual,proper,complete,more than 3,less convenient,inconvenient,,not recommended,not recommended
usual,proper,complete,more than 3,less convenient,inconvenient,slightly problematic,recommended,priority
usual,proper,complete,more than 3,less convenient,inconvenient,,priority,priority
,proper,complete,more than 3,less convenient,inconvenient,,not recommended,not recommended
usual,proper,complete,more than 3,less convenient,inconvenient,problematic,,priority
usual,proper,complete,more than 3,less convenient,inconvenient,problematic,priority,priority
usual,proper,complete,more than 3,less convenient,inconvenient,problematic,,not recommended
usual,proper,complete,more than 3,critical,convenient,,recommended,priority
usual,proper,complete,,,convenient,,,
usual,proper,complete,more than 3,critical,convenient,non-problematic,not recommended,not recommended
,proper,complete,more than 3,,,slightly problematic,recommended,priority
usual,proper,complete,more than 3,critical,convenient,slightly problematic,priority,
usual,proper,complete,more than 3,critical,convenient,slightly problematic,not recommended,not recommended
usual,proper,complete,more than 3,critical,convenient,problematic,recommended,priority
usual,proper,complete,more than 3,critical,convenient,problematic,priority,priority
usual,proper,complete,more than 3,critical,convenient,problematic,not recommended,not recommended
usual,proper,complete,,critical,inconvenient,non-problematic,recommended,priority
usual,proper,complete,more than 3,critical,inconvenient,non-problematic,priority,priority
usual,proper,complete,more than 3,critical,,non-problematic,not recommended,not recommended
,proper,complete,more than 3,critical,inconvenient,slightly problematic,recommended,priority
usual,proper,,more than 3,,inconvenient,slightly problematic,priority,priority
usual,proper,complete,more than 3,critical,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,complete,more than 3,,inconvenient,problematic,recommended,
usual,proper,complete,,critical,inconvenient,problematic,priority,priority
usual,proper,complete,more than 3,,,problematic,not recommended,not recommended
usual,proper,completed,1,convenient,convenient,,recommended,very recommended
usual,proper,completed,1,convenient,convenient,non-problematic,priority,priority
usual,proper,completed,1,convenient,convenient,non-problematic,,
usual,proper,completed,1,convenient,convenient,slightly problematic,recommended,very recommended
usual,proper,completed,1,convenient,,slightly problematic,priority,priority
usual,proper,completed,1,convenient,convenient,slightly problematic,not recommended,
,proper,completed,1,convenient,convenient,problematic,recommended,priority
usual,,completed,,,convenient,problematic,priority,priority
usual,proper,,1,convenient,convenient,problematic,,not recommended
usual,proper,completed,1,convenient,inconvenient,non-problematic,recommended,very recommended
usual,proper,completed,1,convenient,inconvenient,non-problematic,priority,priority
usual,proper,completed,,convenient,inconvenient,,not recommended,not recommended
usual,proper,completed,1,convenient,inconvenient,slightly problematic,recommended,
usual,proper,completed,,convenient,inconvenient,slightly problematic,priority,priority
usual,proper,completed,1,convenient,inconvenient,slightly problematic,not recommended,not recommended
usual,,,1,convenient,inconvenient,problematic,recommended,priority
usual,proper,completed,1,convenient,inconvenient,problematic,priority,priority
usual,proper,completed,1,convenient,inconvenient,problematic,not recommended,not recommended
usual,proper,completed,1,less convenient,convenient,non-problematic,recommended,very recommended
usual,proper,completed,,less convenient,convenient,non-problematic,priority,priority
usual,proper,completed,1,less convenient,convenient,non-problematic,,not recommended
usual,proper,completed,,less convenient,convenient,slightly problematic,recommended,very recommended
usual,proper,completed,1,less convenient,convenient,slightly problematic,priority,priority
usual,proper,completed,1,less convenient,convenient,slightly problematic,not recommended,not recommended
usual,proper,completed,1,less convenient,convenient,problematic,recommended,priority
usual,proper,,1,less convenient,convenient,problematic,priority,priority
usual,proper,completed,1,,convenient,problematic,not recommended,not recommended
usual,proper,completed,1,less convenient,inconvenient,non-problematic,recommended,very recommended
usual,proper,completed,1,less convenient,inconvenient,non-problematic,,priority
usual,proper,completed,1,less convenient,inconvenient,non-problematic,,not recommended
usual,proper,completed,1,less convenient,inconvenient,slightly problematic,recommended,
usual,,completed,1,less convenient,inconvenient,slightly problematic,priority,
usual,proper,completed,1,less convenient,inconvenient,,not recommended,not recommended
,proper,completed,1,less convenient,,problematic,recommended,priority
,proper,completed,1,less convenient,inconvenient,problematic,priority,priority
usual,proper,completed,1,less convenient,inconvenient,problematic,not recommended,not recommended
usual,proper,completed,1,critical,convenient,non-problematic,recommended,priority
usual,proper,,1,critical,convenient,,priority,priority
usual,proper,completed,1,critical,convenient,non-problematic,not recommended,
,proper,,1,critical,convenient,slightly problematic,recommended,priority
usual,proper,,1,critical,convenient,slightly problematic,priority,priority
usual,proper,completed,1,critical,convenient,slightly problematic,not recommended,not recommended
usual,proper,completed,1,critical,,problematic,,priority
,proper,completed,1,critical,convenient,problematic,priority,priority
usual,,,1,critical,convenient,problematic,not recommended,not recommended
,proper,completed,1,critical,inconvenient,non-problematic,recommended,
usual,proper,,1,critical,inconvenient,non-problematic,,priority
usual,proper,completed,1,critical,inconvenient,non-problematic,not recommended,not recommended
usual,proper,completed,1,critical,inconvenient,slightly problematic,recommended,priority
usual,proper,completed,1,critical,inconvenient,slightly problematic,priority,priority
usual,proper,completed,,critical,inconvenient,slightly problematic,,not recommended
usual,proper,completed,1,critical,inconvenient,problematic,recommended,priority
usual,,completed,1,critical,,,priority,priority
,proper,completed,1,critical,inconvenient,problematic,not recommended,not recommended
usual,proper,completed,2,convenient,convenient,non-problematic,recommended,very recommended
usual,proper,completed,2,convenient,convenient,non-problematic,priority,priority
,proper,completed,2,convenient,convenient,non-problematic,not recommended,not recommended
usual,proper,completed,2,convenient,convenient,slightly problematic,recommended,very recommended
usual,,completed,2,convenient,convenient,slightly problematic,priority,priority
usual,proper,completed,2,convenient,convenient,slightly problematic,not recommended,not recommended
usual,proper,completed,2,convenient,convenient,problematic,recommended,priority
usual,proper,completed,2,convenient,convenient,problematic,priority,priority
usual,proper,completed,2,convenient,convenient,problematic,not recommended,
usual,proper,completed,2,convenient,,non-problematic,recommended,very recommended
usual,proper,completed,2,convenient,inconvenient,non-problematic,priority,
usual,proper,completed,2,,inconvenient,non-problematic,not recommended,not recommended
usual,proper,completed,2,convenient,inconvenient,,recommended,
usual,proper,,2,convenient,inconvenient,slightly problematic,,priority
usual,proper,,2,convenient,inconvenient,,,not recommended
usual,proper,completed,2,convenient,inconvenient,problematic,recommended,priority
usual,proper,completed,2,convenient,inconvenient,problematic,priority,priority
usual,proper,completed,,convenient,inconvenient,problematic,not recommended,not recommended
usual,proper,completed,2,less convenient,convenient,non-problematic,recommended,very recommended
,proper,completed,,less convenient,,non-problematic,priority,
usual,,completed,2,less convenient,convenient,non-problematic,not recommended,not recommended
usual,proper,completed,2,less convenient,convenient,slightly problematic,,very recommended
usual,proper,completed,2,,convenient,slightly problematic,priority,priority
usual,proper,completed,2,less convenient,convenient,slightly problematic,,not recommended
usual,proper,completed,2,less convenient,convenient,problematic,,priority
usual,proper,completed,2,less convenient,convenient,problematic,priority,priority
usual,proper,completed,2,less convenient,convenient,problematic,not recommended,not recommended
usual,proper,completed,2,,inconvenient,non-problematic,recommended,very recommended
,proper,completed,,less convenient,inconvenient,non-problematic,priority,priority
usual,,completed,2,less convenient,inconvenient,non-problematic,not recommended,not recommended
usual,proper,completed,,less convenient,inconvenient,slightly problematic,recommended,
usual,proper,completed,2,less convenient,,slightly problematic,priority,priority
usual,,completed,2,less convenient,inconvenient,slightly problematic,not recommended,
usual,proper,completed,2,less convenient,,problematic,recommended,priority
usual,proper,completed,,less convenient,inconvenient,problematic,priority,priority
usual,proper,completed,2,less convenient,inconvenient,problematic,not recommended,not recommended
usual,proper,completed,2,critical,,non-problematic,,priority
usual,proper,completed,2,critical,convenient,non-problematic,,priority
usual,proper,completed,2,,convenient,non-problematic,not recommended,
usual,proper,completed,2,critical,convenient,slightly problematic,recommended,priority
usual,proper,completed,2,critical,convenient,,priority,priority
usual,proper,completed,2,critical,convenient,slightly problematic,not recommended,not recommended
usual,proper,completed,2,critical,convenient,problematic,recommended,priority
,,completed,2,critical,convenient,problematic,priority,priority
usual,,completed,,critical,convenient,problematic,not recommended,not recommended
usual,proper,,2,critical,inconvenient,non-problematic,recommended,priority
usual,proper,completed,2,critical,inconvenient,non-problematic,priority,priority
usual,proper,completed,2,,,non-problematic,not recommended,not recommended
usual,proper,completed,2,critical,inconvenient,slightly problematic,recommended,priority
usual,proper,completed,2,critical,inconvenient,slightly problematic,priority,priority
usual,proper,completed,,,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,completed,2,critical,inconvenient,problematic,recommended,priority
usual,,completed,2,,inconvenient,problematic,,priority
usual,proper,completed,2,,inconvenient,problematic,not recommended,not recommended
usual,proper,completed,3,convenient,convenient,non-problematic,recommended,very recommended
usual,proper,completed,3,convenient,convenient,non-problematic,,priority
usual,proper,completed,3,convenient,,non-problematic,not recommended,not recommended
usual,proper,completed,3,convenient,convenient,slightly problematic,recommended,very recommended
usual,proper,completed,3,convenient,convenient,slightly problematic,priority,priority
usual,proper,completed,3,convenient,convenient,slightly problematic,not recommended,not recommended
usual,proper,completed,3,convenient,,problematic,,priority
usual,proper,completed,3,convenient,convenient,problematic,,priority
usual,proper,completed,3,convenient,convenient,problematic,not recommended,not recommended
usual,proper,completed,3,convenient,inconvenient,non-problematic,recommended,priority
usual,,completed,,convenient,inconvenient,non-problematic,priority,priority
usual,proper,completed,,convenient,inconvenient,non-problematic,not recommended,not recommended
,proper,completed,3,convenient,inconvenient,slightly problematic,recommended,priority
usual,proper,completed,3,convenient,,slightly problematic,priority,priority
usual,proper,completed,3,convenient,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,completed,3,convenient,inconvenient,,,priority
usual,,completed,3,convenient,inconvenient,,priority,priority
usual,proper,completed,3,convenient,inconvenient,problematic,not recommended,not recommended
usual,proper,completed,3,less convenient,convenient,non-problematic,recommended,priority
,proper,completed,3,less convenient,convenient,non-problematic,priority,priority
usual,proper,,3,,convenient,non-problematic,not recommended,not recommended
usual,proper,,3,less convenient,convenient,slightly problematic,recommended,
usual,proper,completed,,less convenient,convenient,slightly problematic,priority,
usual,proper,completed,3,,convenient,slightly problematic,not recommended,not recommended
usual,proper,completed,3,less convenient,convenient,problematic,,priority
usual,proper,completed,3,less convenient,convenient,problematic,priority,priority
usual,proper,completed,3,less convenient,convenient,problematic,,not recommended
usual,proper,,3,less convenient,,non-problematic,recommended,priority
usual,proper,completed,3,less convenient,inconvenient,,priority,priority
usual,proper,completed,3,less convenient,inconvenient,non-problematic,not recommended,not recommended
usual,proper,completed,3,less convenient,inconvenient,slightly problematic,recommended,priority
usual,proper,completed,3,less convenient,inconvenient,slightly problematic,priority,priority
usual,proper,completed,3,less convenient,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,completed,3,,inconvenient,problematic,recommended,priority
,,completed,3,less convenient,inconvenient,problematic,priority,priority
usual,proper,,3,less convenient,inconvenient,problematic,not recommended,not recommended
usual,proper,completed,3,critical,convenient,non-problematic,recommended,priority
usual,proper,completed,3,critical,convenient,non-problematic,priority,priority
usual,proper,completed,3,critical,,non-problematic,,not recommended
usual,proper,completed,3,,convenient,slightly problematic,recommended,priority
usual,proper,completed,3,critical,convenient,slightly problematic,priority,priority
,proper,completed,3,critical,,slightly problematic,not recommended,not recommended
usual,,completed,,critical,convenient,problematic,recommended,priority
usual,proper,completed,3,,convenient,problematic,priority,priority
usual,,completed,3,critical,,problematic,not recommended,not recommended
,proper,completed,3,critical,inconvenient,non-problematic,recommended,priority
usual,proper,completed,3,critical,inconvenient,non-problematic,priority,priority
usual,proper,completed,3,critical,inconvenient,non-problematic,not recommended,not recommended
usual,proper,completed,3,critical,inconvenient,slightly problematic,,priority
usual,proper,completed,3,critical,inconvenient,slightly problematic,priority,priority
usual,proper,completed,3,critical,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,completed,,critical,inconvenient,problematic,,priority
,proper,completed,3,,inconvenient,problematic,priority,priority
usual,proper,completed,3,critical,inconvenient,problematic,,
usual,proper,completed,more than 3,convenient,convenient,non-problematic,,very recommended
usual,,completed,more than 3,convenient,convenient,non-problematic,priority,
usual,proper,completed,,convenient,convenient,non-problematic,not recommended,not recommended
usual,proper,completed,more than 3,convenient,convenient,slightly problematic,recommended,very recommended
usual,proper,completed,more than 3,convenient,convenient,slightly problematic,priority,priority
usual,proper,,more than 3,convenient,convenient,slightly problematic,not recommended,not recommended
usual,proper,completed,more than 3,convenient,convenient,problematic,recommended,priority
usual,proper,completed,more than 3,convenient,,problematic,priority,priority
usual,proper,completed,more than 3,convenient,convenient,problematic,not recommended,not recommended
usual,proper,completed,more than 3,,,non-problematic,,priority
usual,proper,completed,more than 3,convenient,inconvenient,non-problematic,priority,priority
usual,proper,,more than 3,convenient,inconvenient,non-problematic,not recommended,
usual,,completed,more than 3,convenient,inconvenient,,recommended,
usual,proper,completed,more than 3,convenient,inconvenient,slightly problematic,priority,priority
usual,proper,completed,more than 3,convenient,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,,more than 3,convenient,inconvenient,problematic,recommended,priority
,proper,completed,more than 3,convenient,inconvenient,problematic,priority,priority
usual,proper,completed,,convenient,inconvenient,problematic,,not recommended
usual,proper,completed,more than 3,less convenient,convenient,non-problematic,recommended,priority
usual,proper,completed,more than 3,less convenient,convenient,non-problematic,priority,priority
usual,proper,completed,more than 3,less convenient,convenient,non-problematic,not recommended,not recommended
usual,proper,completed,more than 3,less convenient,convenient,slightly problematic,recommended,priority
usual,proper,completed,more than 3,less convenient,convenient,slightly problematic,priority,priority
usual,proper,completed,more than 3,less convenient,convenient,,not recommended,not recommended
usual,proper,completed,more than 3,less convenient,convenient,problematic,recommended,
usual,proper,completed,more than 3,less convenient,convenient,problematic,,priority
usual,,completed,more than 3,less convenient,convenient,problematic,not recommended,not recommended
usual,proper,completed,more than 3,less convenient,inconvenient,non-problematic,recommended,priority
,proper,completed,more than 3,less convenient,inconvenient,non-problematic,priority,
,proper,completed,more than 3,less convenient,,non-problematic,not recommended,
usual,proper,completed,more than 3,less convenient,inconvenient,slightly problematic,recommended,priority
usual,proper,completed,more than 3,less convenient,inconvenient,slightly problematic,,
usual,proper,completed,more than 3,less convenient,,slightly problematic,not recommended,not recommended
usual,proper,completed,more than 3,less convenient,inconvenient,problematic,recommended,priority
usual,proper,,more than 3,less convenient,inconvenient,problematic,priority,priority
,proper,completed,more than 3,less convenient,inconvenient,problematic,not recommended,not recommended
,,completed,more than 3,critical,convenient,non-problematic,recommended,priority
usual,proper,completed,more than 3,critical,convenient,non-problematic,priority,
,proper,completed,more than 3,critical,convenient,non-problematic,not recommended,not recommended
usual,proper,completed,more than 3,critical,convenient,slightly problematic,recommended,priority
usual,proper,completed,more than 3,critical,convenient,slightly problematic,priority,priority
usual,proper,completed,more than 3,critical,convenient,slightly problematic,not recommended,not recommended
usual,proper,,more than 3,critical,convenient,problematic,recommended,priority
usual,proper,,more than 3,critical,,problematic,priority,priority
usual,proper,completed,more than 3,critical,convenient,problematic,not recommended,not recommended
usual,,,more than 3,critical,inconvenient,non-problematic,recommended,priority
usual,proper,completed,more than 3,critical,inconvenient,non-problematic,priority,priority
,proper,completed,more than 3,critical,inconvenient,non-problematic,not recommended,not recommended
usual,proper,completed,more than 3,critical,inconvenient,slightly problematic,,priority
usual,proper,completed,more than 3,critical,inconvenient,,priority,priority
usual,proper,completed,,critical,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,completed,more than 3,critical,inconvenient,problematic,recommended,
usual,proper,completed,more than 3,,inconvenient,problematic,priority,priority
usual,proper,completed,more than 3,critical,inconvenient,problematic,not recommended,not recommended
usual,proper,incomplete,1,convenient,convenient,non-problematic,recommended,very recommended
usual,proper,incomplete,1,convenient,convenient,non-problematic,priority,priority
usual,proper,incomplete,1,,convenient,,not recommended,not recommended
usual,proper,incomplete,1,convenient,convenient,slightly problematic,recommended,very recommended
usual,,incomplete,1,convenient,convenient,slightly problematic,priority,priority
usual,proper,incomplete,1,convenient,convenient,slightly problematic,not recommended,not recommended
,proper,incomplete,,convenient,convenient,problematic,recommended,
