buying_price,maintenance_price,num_doors,num_persons,luggage_boot_size,safety_rating,car_acceptability
,,4,4,big,,
,high,,,,,unacceptable
,high,,,,,
,high,,more than 4,small,medium,
,,,more than 4,,,unacceptable
very high,high,,,medium,,
,,,,medium,medium,unacceptable
,,,more than 4,medium,,unacceptable
,high,4,more than 4,big,low,
very high,,4,more than 4,big,,unacceptable
very high,high,,,,,unacceptable
,high,,,small,low,
very high,high,,2,small,medium,
very high,,,,,high,unacceptable
very high,,,,medium,,unacceptable
very high,,5 or more,,medium,medium,
,high,5 or more,,medium,high,unacceptable
,high,5 or more,,,low,
very high,,,2,,medium,
very high,,,2,,high,
very high,,5 or more,,,,
very high,,5 or more,,,medium,unacceptable
,,,4,small,,unacceptable
very high,high,5 or more,,,,
very high,high,,,,medium,
very high,,,4,medium,,unacceptable
very high,high,,4,,low,
,,5 or more,,big,medium,
very high,,5 or more,,big,high,unacceptable
very high,,5 or more,more than 4,small,,unacceptable
very high,high,,more than 4,,medium,
very high,high,,more than 4,,high,unacceptable
very high,high,5 or more,,,low,unacceptable
very high,high,,more than 4,,medium,
,,,more than 4,,,
,,,more than 4,big,low,
,high,5 or more,,,,
,high,5 or more,more than 4,big,high,unacceptable
very high,,,,small,low,
very high,,2,,,,
,,2,2,,high,unacceptable
,,,,medium,,unacceptable
very high,,2,,medium,,unacceptable
very high,,2,2,medium,high,unacceptable
,,2,,big,low,
,medium,,2,,medium,
very high,,2,,big,high,
,,2,4,small,,
very high,,2,,small,,
very high,medium,2,,,high,acceptable
,,,4,,,
,,2,,medium,,unacceptable
very high,medium,2,,,high,acceptable
very high,medium,2,,,low,unacceptable
,medium,,4,,,acceptable
,medium,2,4,,,
very high,medium,2,more than 4,small,low,
very high,,2,more than 4,small,,
,,,more than 4,small,,
,medium,2,more than 4,,low,unacceptable
,medium,,more than 4,,medium,unacceptable
very high,medium,,,,,acceptable
,medium,2,more than 4,,low,unacceptable
,medium,2,,big,,
,,,,big,high,acceptable
,,3,,,low,
very high,medium,,,small,,
very high,,3,2,,,
,,3,,medium,low,unacceptable
very high,,3,2,,,unacceptable
,,,,medium,high,unacceptable
,,,,,low,
very high,,,,big,medium,unacceptable
,,3,,big,,
,,3,,,,
very high,medium,3,4,,medium,
,medium,,4,,high,acceptable
very high,medium,3,,medium,,unacceptable
very high,medium,,,medium,,
,medium,3,,,,acceptable
very high,,,,big,low,
,,3,,big,medium,
,,3,4,big,high,
very high,medium,,more than 4,small,low,unacceptable
very high,medium,,,small,,
,,3,more than 4,,,
very high,medium,,more than 4,medium,low,unacceptable
,medium,,more than 4,medium,medium,acceptable
,medium,3,more than 4,,,
very high,medium,,more than 4,big,low,unacceptable
very high,medium,,more than 4,big,medium,acceptable
very high,,,,,high,acceptable
,,4,,small,low,unacceptable
,,4,2,,medium,
very high,,4,,,,
very high,medium,,,medium,low,unacceptable
,,4,,medium,,unacceptable
,medium,,2,,high,unacceptable
very high,medium,4,2,,low,
,,,2,big,medium,unacceptable
,,,,,,unacceptable
very high,medium,4,4,,low,unacceptable
,,4,,small,medium,
,,,,small,,acceptable
,medium,,,medium,low,
very high,,,,,medium,
,medium,4,,medium,,acceptable
very high,medium,,,,,
very high,,,4,,medium,
,,,4,,high,
,medium,,more than 4,small,low,unacceptable
,,,more than 4,small,,unacceptable
,medium,,more than 4,small,,
,,,more than 4,medium,low,
very high,medium,,more than 4,medium,,
,,4,more than 4,medium,,
very high,medium,,more than 4,big,,
very high,,,,,medium,acceptable
,medium,4,more than 4,,,acceptable
very high,,,,small,low,
,medium,5 or more,,small,medium,
very high,,5 or more,2,small,high,
very high,medium,,2,medium,,unacceptable
very high,,5 or more,,,,unacceptable
very high,,,2,,high,unacceptable
very high,medium,,2,big,low,
very high,,,,big,medium,unacceptable
very high,,5 or more,,big,high,unacceptable
very high,,,4,,,
very high,,,4,small,,
,,,4,small,high,
very high,,5 or more,4,,low,
very high,,,4,,medium,
very high,medium,5 or more,,,,
very high,medium,5 or more,4,big,low,
very high,medium,5 or more,,,,acceptable
very high,,5 or more,,,,acceptable
very high,,5 or more,,small,low,unacceptable
,medium,5 or more,,small,,unacceptable
,medium,5 or more,,,,
,medium,,,medium,,unacceptable
very high,medium,5 or more,more than 4,,,
very high,,5 or more,more than 4,medium,high,
very high,medium,,,big,low,unacceptable
very high,medium,5 or more,,,,acceptable
very high,medium,,more than 4,big,high,acceptable
,low,,,,low,unacceptable
very high,low,2,2,,,
,,,,small,,
,low,,,medium,,
,,,,medium,medium,unacceptable
,low,,,medium,,
very high,low,,2,big,,
,,,2,big,medium,
very high,low,2,,big,,
,low,2,,,,
,,2,,,,unacceptable
very high,low,,4,,high,acceptable
very high,low,2,,medium,,unacceptable
,,,,,medium,
,low,,4,medium,high,acceptable
,low,,,big,,unacceptable
very high,low,2,,,medium,
very high,low,2,,,,
very high,,,,small,low,
,,,more than 4,small,,
very high,,2,,,,unacceptable
very high,,,,,,
very high,,,more than 4,,medium,
very high,low,2,more than 4,,high,
,,2,,big,low,unacceptable
very high,,,,,,
,low,2,,big,,
very high,,,2,small,low,unacceptable
very high,,,,,medium,
very high,low,3,2,small,,unacceptable
,low,,2,medium,,
very high,,3,2,,,
very high,,3,,medium,high,unacceptable
,low,3,2,big,,
very high,,3,2,,medium,
very high,low,3,,,high,unacceptable
very high,,,,small,,
very high,,3,4,small,,
very high,low,3,,small,high,acceptable
very high,low,3,,,,
,,,,medium,medium,
very high,low,,,medium,high,acceptable
,,,,,,unacceptable
very high,,3,,,,acceptable
very high,low,,4,,high,acceptable
,low,3,,small,,unacceptable
very high,low,3,more than 4,,medium,
,,,more than 4,,high,
,low,,,medium,,unacceptable
,,3,,,,
very high,,3,more than 4,,high,
very high,,3,,,low,unacceptable
,,3,more than 4,big,medium,acceptable
very high,,,more than 4,big,,
very high,low,,,,,
,low,,2,small,,unacceptable
,low,,2,small,,
very high,low,,2,,low,
very high,,,,,medium,
very high,,,,,,
,,4,2,,,unacceptable
very high,low,,2,big,medium,unacceptable
,,4,2,,,
,low,4,,,,
very high,low,4,,small,medium,unacceptable
,,,,,,
very high,,,4,medium,low,unacceptable
very high,low,,,,,
very high,low,4,,medium,high,
very high,,,4,,,unacceptable
very high,,,,big,,
very high,low,,4,big,,
very high,,4,,,,
,,4,more than 4,small,medium,
very high,,4,more than 4,small,high,acceptable
,,4,,medium,low,
very high,low,4,more than 4,medium,medium,acceptable
,,4,,medium,high,
very high,low,,,,,unacceptable
,low,,,big,medium,
,,,more than 4,,,
very high,low,,2,,,unacceptable
very high,low,5 or more,,small,,unacceptable
,low,,,small,,unacceptable
,,,,medium,,unacceptable
very high,,5 or more,2,medium,,
very high,low,5 or more,,medium,,
,low,,,big,,
,low,5 or more,,big,medium,
very high,low,5 or more,,big,high,
,,,4,,,unacceptable
,low,,,,,
very high,low,,4,small,high,
,,5 or more,4,,,unacceptable
very high,low,5 or more,,medium,medium,
very high,low,,4,medium,high,
,low,,4,big,,unacceptable
very high,,5 or more,4,big,medium,
very high,low,5 or more,4,,high,
,,5 or more,more than 4,small,low,unacceptable
very high,,,,small,medium,
,low,,more than 4,small,,
very high,low,5 or more,more than 4,,low,unacceptable
very high,,5 or more,more than 4,,,acceptable
,,,more than 4,medium,high,
very high,low,5 or more,more than 4,,low,
very high,,,,big,,acceptable
,,5 or more,,,high,
,,2,2,small,low,
,very high,,,,,unacceptable
,very high,,2,,,unacceptable
high,,,,,,
,,2,2,medium,,
high,,,2,medium,high,
,very high,,2,big,low,
,very high,2,2,,,unacceptable
high,very high,,2,big,high,
,very high,,,small,,unacceptable
,very high,2,,,,
high,very high,,,,high,
high,very high,2,,medium,,
high,very high,,,,,
,,2,4,medium,,unacceptable
high,very high,2,4,big,,unacceptable
high,very high,2,,,medium,unacceptable
high,,,4,big,high,
high,,2,,,low,unacceptable
,very high,,,,,unacceptable
,,2,,small,,unacceptable
,,,,,low,unacceptable
high,very high,,,,,unacceptable
high,,,more than 4,medium,,unacceptable
high,,,more than 4,big,low,
,very high,2,,big,medium,unacceptable
high,very high,,more than 4,,high,
high,,,,,low,unacceptable
high,,,,,medium,
,,,2,small,,
,,,2,medium,low,
,very high,3,2,,medium,
high,very high,3,,medium,,
,very high,,,big,,unacceptable
,,3,,,medium,unacceptable
high,,,2,big,high,unacceptable
high,,,4,,,unacceptable
high,,,,small,medium,
,very high,,4,small,,unacceptable
,,3,,medium,low,
,,,,,,unacceptable
high,very high,,,medium,,
high,very high,3,,big,low,unacceptable
high,very high,3,,big,medium,unacceptable
,,3,4,big,high,unacceptable
high,very high,3,more than 4,,,unacceptable
,,,,,,unacceptable
high,,,more than 4,,high,unacceptable
high,,3,,medium,low,
,,3,,medium,,unacceptable
high,very high,3,,,high,
,,,,big,,unacceptable
,very high,,more than 4,big,,unacceptable
high,very high,3,,big,,
high,,4,2,small,low,
,,,,,medium,unacceptable
,very high,,,small,high,unacceptable
,very high,4,2,medium,low,unacceptable
high,very high,4,,medium,,
high,very high,4,,medium,,unacceptable
high,very high,4,2,big,,
high,very high,,2,,medium,unacceptable
high,very high,,,big,high,
high,,4,4,,,unacceptable
high,very high,4,4,small,medium,
,,4,,small,high,unacceptable
,,,,,low,unacceptable
high,very high,,4,medium,,unacceptable
,very high,4,,medium,high,unacceptable
,very high,,,,low,unacceptable
high,very high,,,,,
,,,,,high,unacceptable
high,,,more than 4,,,
,,,more than 4,,,unacceptable
,,4,,,,
high,very high,,more than 4,medium,,unacceptable
,,,,,medium,
,,4,more than 4,medium,high,unacceptable
,very high,4,more than 4,big,,
,very high,,,big,,unacceptable
,,,more than 4,,,unacceptable
,very high,5 or more,,small,,unacceptable
,very high,,2,,,
,very high,,2,small,high,
,very high,,,medium,low,unacceptable
,very high,,,medium,,
,very high,5 or more,2,medium,,
,,,2,,,
,very high,,,big,,
,very high,5 or more,2,,high,
,,,4,small,low,unacceptable
high,,,4,,medium,
,,,,small,,unacceptable
,,,4,,low,
high,,5 or more,4,medium,,
,very high,5 or more,4,,,
high,very high,5 or more,,big,low,
high,very high,5 or more,4,,,unacceptable
,very high,5 or more,4,big,,
,,,,small,low,
,very high,,,,medium,
high,,5 or more,,,high,unacceptable
high,very high,5 or more,more than 4,medium,,
,very high,,,medium,medium,unacceptable
,very high,,,,,
high,,5 or more,more than 4,,,
high,,,,big,medium,
high,very high,5 or more,more than 4,big,high,unacceptable
,,,2,small,,unacceptable
,,2,,,medium,unacceptable
,high,2,,,high,
high,high,2,,medium,,
,,2,,,medium,
high,,2,2,,,
high,,,,,,unacceptable
,,2,2,,,
high,,2,2,big,,
,,2,4,small,low,
,,2,4,small,,
high,,2,4,small,,
,,,4,medium,,
,,2,,,,unacceptable
high,,2,4,medium,,acceptable
high,high,2,4,,low,unacceptable
high,,2,4,,medium,acceptable
high,,,4,,high,
high,,2,,,,
high,high,,more than 4,,medium,unacceptable
high,,2,,small,,unacceptable
high,high,,more than 4,,low,
,high,,,,,unacceptable
high,,,,,high,acceptable
,,,more than 4,big,,
high,high,,,,medium,
,high,,more than 4,,,acceptable
,high,3,,small,,unacceptable
,high,,,small,medium,
,high,3,,,,unacceptable
,,3,,,,
,high,,2,medium,medium,
,,,,medium,,
,high,,2,,low,unacceptable
,,,,big,medium,unacceptable
high,,,2,,high,
,high,,4,small,low,unacceptable
high,high,,,small,,
,high,3,,small,high,acceptable
high,high,,4,,low,unacceptable
,,3,,medium,,
high,high,3,,medium,high,acceptable
high,high,,,big,,unacceptable
,high,3,,,,acceptable
high,,3,,,high,
,,,,,low,
high,,,more than 4,small,,unacceptable
high,high,3,,,high,
high,,,more than 4,,low,unacceptable
high,high,3,more than 4,medium,,
,,3,more than 4,medium,,acceptable
,high,3,,,,unacceptable
high,high,,,big,medium,
,high,,,,high,acceptable
high,high,4,,small,,unacceptable
,,,,,,unacceptable
,high,4,2,small,high,
,,4,2,,,unacceptable
,high,4,2,medium,medium,
high,high,,,,,unacceptable
high,,,2,,,unacceptable
high,,,,big,medium,
high,high,,,big,,
high,high,4,4,small,,unacceptable
,,4,4,,medium,
,,4,4,,high,
high,,,4,,,unacceptable
high,,,,medium,,acceptable
high,,,,,high,
,high,,4,,low,unacceptable
high,high,,,big,medium,
,,,,big,,
high,high,4,more than 4,,low,unacceptable
,high,4,,,,
,high,,more than 4,small,high,acceptable
,,4,more than 4,medium,,unacceptable
,high,4,,medium,,
high,high,4,more than 4,,high,acceptable
,high,,more than 4,,,
high,,,more than 4,big,,
,,4,more than 4,big,,acceptable
high,high,5 or more,2,small,,unacceptable
high,high,,2,small,,
high,high,5 or more,,small,,
,,,,,,unacceptable
,,5 or more,,medium,,
high,high,5 or more,2,medium,,
,,5 or more,2,,low,unacceptable
,,,,,medium,
,high,5 or more,2,,,unacceptable
,,5 or more,4,,,
,,,,small,medium,unacceptable
,,,,,high,acceptable
high,,5 or more,,,,unacceptable
high,,5 or more,4,,,
high,,5 or more,,medium,,acceptable
high,high,5 or more,,big,,
high,,5 or more,4,,medium,
,,5 or more,4,big,high,
,high,,,,low,unacceptable
,,5 or more,more than 4,,medium,
,high,5 or more,,small,high,acceptable
high,high,,,,,unacceptable
high,,,,,medium,
high,high,,,,high,acceptable
,high,5 or more,,,low,unacceptable
high,high,5 or more,,big,medium,acceptable
,,,,,high,acceptable
,medium,,,,low,
,,2,,small,medium,unacceptable
high,,,2,,high,unacceptable
high,medium,2,2,,low,
,medium,,,,medium,unacceptable
high,,2,2,,,
high,medium,2,,big,low,unacceptable
high,,,2,big,medium,
high,,,2,big,,
,,2,4,,low,unacceptable
high,,2,,,,
,,,4,small,,acceptable
high,medium,,4,medium,low,
high,medium,2,,,medium,unacceptable
,medium,,4,medium,high,acceptable
,medium,,4,big,low,
high,,,4,,medium,
,medium,2,,big,high,acceptable
,medium,2,more than 4,,low,unacceptable
high,,2,more than 4,,,unacceptable
,medium,2,more than 4,,,unacceptable
,medium,,,,low,unacceptable
,,,more than 4,,medium,unacceptable
high,,2,,,high,acceptable
,,2,,big,low,
,,2,more than 4,,medium,acceptable
,medium,,,,,
,medium,3,2,,,
high,medium,,,small,,
high,medium,,,small,,
,,,2,,,unacceptable
high,medium,3,,medium,,unacceptable
,medium,3,,medium,high,unacceptable
,medium,,,,,unacceptable
,medium,,,,,
,medium,,,,high,unacceptable
,,,4,,,
,,3,,small,,
high,,3,4,,high,
high,,3,,medium,low,unacceptable
high,medium,3,,,,
,medium,,4,,,acceptable
high,medium,3,,big,,
,,,4,big,,
,,3,,big,,acceptable
,medium,,more than 4,,,unacceptable
high,medium,3,more than 4,,,
high,,,more than 4,small,,
,,,more than 4,medium,low,
high,,,more than 4,,,acceptable
,medium,,more than 4,,,acceptable
,,,,,,unacceptable
,,,,big,,acceptable
,medium,3,more than 4,big,high,
,medium,,,small,,unacceptable
high,medium,4,,,,
high,medium,,,small,,
,medium,4,2,medium,,
high,,4,2,medium,medium,unacceptable
high,,,,medium,,unacceptable
,medium,,2,big,,
high,,,2,big,medium,
,medium,4,2,,,
,,,4,,low,unacceptable
high,,4,4,small,medium,unacceptable
high,,4,,small,,
high,medium,,,medium,,unacceptable
,medium,4,,,,acceptable
high,medium,,,,,acceptable
high,medium,,4,big,low,unacceptable
,,4,,,medium,acceptable
high,,,4,big,high,acceptable
high,medium,,more than 4,small,low,
high,,4,,small,,
,medium,,,small,,acceptable
high,medium,,more than 4,,,
high,,4,more than 4,,,acceptable
high,medium,,,,,
high,,,more than 4,big,,unacceptable
,,,more than 4,,,
high,,,,,high,acceptable
,,,,,low,unacceptable
high,medium,5 or more,2,,medium,
,medium,,,small,,
high,medium,5 or more,,,low,unacceptable
high,,,2,,medium,
high,medium,5 or more,,medium,high,
high,medium,5 or more,2,,,
high,medium,5 or more,,,medium,
,medium,,,,,unacceptable
,,,4,,low,
,,5 or more,4,,medium,unacceptable
,medium,,4,small,high,acceptable
,medium,,,medium,low,unacceptable
,medium,5 or more,,,,
high,medium,5 or more,4,,high,
high,,5 or more,,,low,
high,,5 or more,,,,
,,,,big,high,
high,medium,,more than 4,,low,
high,medium,,,small,,unacceptable
high,medium,5 or more,more than 4,small,,
,medium,5 or more,,medium,,
high,,5 or more,,medium,medium,
high,medium,,,medium,,
,,5 or more,,,,
high,,5 or more,,,medium,
high,medium,,,big,,
,,2,,,low,
,low,,2,small,,unacceptable
,,2,2,,high,unacceptable
high,low,,,medium,,unacceptable
,,,2,,medium,
,,2,,,,
high,low,,2,big,,unacceptable
high,,,2,big,,
,low,2,2,,high,unacceptable
,,2,4,,low,
high,low,2,4,small,,unacceptable
,,,,small,,acceptable
high,,2,,,low,
,low,2,,medium,medium,unacceptable
,low,2,4,medium,,
,,2,,big,low,
,low,2,,,medium,acceptable
,low,,,,,
,,,,small,,
high,low,,more than 4,small,medium,
high,,2,more than 4,,high,
high,,,,medium,,
,low,2,,,,
,low,,,,high,acceptable
high,,,,,low,unacceptable
high,low,,more than 4,,,acceptable
,,,more than 4,big,,acceptable
,,3,2,small,,unacceptable
high,low,,2,small,,
,low,3,2,small,high,
,,,,medium,,
,,3,2,medium,,unacceptable
high,low,,2,medium,high,unacceptable
,low,,2,,,
high,,3,2,,,
high,low,,,big,high,unacceptable
high,,,,,,
,low,3,4,small,,unacceptable
,low,,4,,,acceptable
,low,3,4,medium,low,
high,low,3,,medium,medium,unacceptable
,,,4,medium,,
,,3,4,,low,
high,,,,big,medium,acceptable
,,,4,,high,acceptable
high,,,,small,low,
,low,3,,small,,
high,low,3,,small,,
high,,3,more than 4,,,
,low,3,,,medium,acceptable
,,3,,,high,acceptable
high,low,3,,,,
high,low,3,more than 4,,,acceptable
high,low,3,more than 4,big,,acceptable
high,,4,,small,,unacceptable
,low,,,,medium,
,low,4,2,,high,
,low,4,2,,,
high,,,,medium,,unacceptable
,low,,2,medium,,unacceptable
,low,4,,,,
,,,2,,,unacceptable
,,,2,big,,unacceptable
high,low,4,4,,,
high,low,4,4,,medium,unacceptable
high,low,4,,small,,acceptable
high,,4,,,,unacceptable
high,low,,4,medium,,
,low,4,4,,high,
,low,,4,,low,
high,,,4,,medium,acceptable
,,4,4,big,high,acceptable
,low,4,,,,
high,,,,small,medium,
,low,4,,,,
high,low,,more than 4,,low,unacceptable
,,4,,,medium,acceptable
,low,,more than 4,medium,high,
high,low,,,,,unacceptable
,,4,,big,,acceptable
high,low,,more than 4,,,
high,,5 or more,,,low,
high,,5 or more,2,,,unacceptable
high,,,2,small,,
,low,,2,,,unacceptable
high,low,,2,medium,,
,,5 or more,,medium,high,unacceptable
high,,,,big,,unacceptable
,,,2,big,,unacceptable
,low,5 or more,,big,,unacceptable
,low,,4,small,low,unacceptable
high,,,,small,,unacceptable
high,,,,,,
high,low,,,,low,unacceptable
,,5 or more,4,,medium,
,low,5 or more,,medium,,acceptable
,low,5 or more,,big,low,unacceptable
,low,5 or more,,big,,
high,low,5 or more,,big,,
,low,5 or more,more than 4,small,,unacceptable
,,,more than 4,small,medium,
,low,,more than 4,small,,acceptable
high,,5 or more,,medium,low,unacceptable
high,,5 or more,,medium,medium,
,low,5 or more,,,,acceptable
,low,,more than 4,,low,
high,,5 or more,more than 4,,medium,acceptable
,,,more than 4,big,,acceptable
medium,very high,2,2,small,,unacceptable
,,,2,small,,
,very high,,2,,,
,very high,,,,,
,very high,2,,,medium,
,,,2,,high,
,very high,,2,,low,
medium,,2,,big,,unacceptable
,,,,,high,unacceptable
,very high,2,,small,low,unacceptable
,very high,,,,medium,unacceptable
medium,very high,,,,,acceptable
medium,,,,,low,unacceptable
medium,,,,medium,medium,
medium,,2,4,medium,high,
,,,4,big,,unacceptable
,,,,,,
medium,,,,big,,acceptable
medium,very high,2,,,,unacceptable
,,2,,small,medium,
,,2,more than 4,small,high,unacceptable
,,2,,,low,
medium,very high,,more than 4,,,
,,,,,high,acceptable
,,,,big,low,
,,2,,big,medium,
medium,very high,2,,,high,acceptable
medium,very high,3,2,,low,unacceptable
medium,very high,,2,small,,
,,,,small,high,unacceptable
medium,,,2,,low,unacceptable
medium,very high,,,medium,,unacceptable
,very high,3,2,,,unacceptable
,very high,3,2,big,,unacceptable
medium,,3,,,,unacceptable
,very high,3,,,high,
medium,,,4,,,
,very high,3,,small,medium,
,very high,3,4,small,,acceptable
medium,very high,,,,low,
,,,4,medium,medium,
medium,,,,,,acceptable
medium,very high,,,,low,unacceptable
medium,,3,,big,medium,acceptable
medium,,3,4,,,
,,3,,,low,unacceptable
medium,,3,more than 4,,,unacceptable
medium,very high,3,more than 4,small,,
,very high,3,more than 4,,low,
,very high,3,more than 4,,,
,very high,3,more than 4,,high,
medium,,,more than 4,big,,
medium,,,,,medium,acceptable
medium,very high,,,,,
medium,very high,,2,small,low,unacceptable
medium,very high,4,2,,,unacceptable
,,4,,small,high,unacceptable
,,4,2,medium,,
medium,,4,,,,
medium,very high,,2,,high,
medium,very high,4,2,big,low,unacceptable
medium,very high,,2,,medium,
medium,,,,big,,
medium,very high,,,,low,
,,,4,,,
,,4,4,small,high,acceptable
,very high,4,4,medium,,unacceptable
medium,very high,,,,medium,
,very high,,4,,high,acceptable
medium,very high,,,,low,unacceptable
,very high,,4,big,,
,very high,4,,,,acceptable
medium,,4,more than 4,,,unacceptable
medium,,,,small,,
medium,very high,,,small,,
medium,,4,more than 4,,,unacceptable
medium,very high,4,,medium,,
,,4,,,,acceptable
medium,,,,big,low,unacceptable
medium,,4,more than 4,,,acceptable
medium,,4,more than 4,,,
medium,,,2,small,,
,very high,5 or more,,small,medium,unacceptable
medium,,,2,small,high,
medium,very high,,,medium,low,
medium,,,2,medium,medium,unacceptable
,very high,,,,,
,,,2,,,unacceptable
medium,very high,,2,,,
medium,,,,big,high,
medium,very high,5 or more,,small,,unacceptable
,,,4,,medium,
medium,very high,5 or more,4,small,,acceptable
,very high,5 or more,,,,unacceptable
medium,very high,5 or more,4,,,acceptable
medium,very high,,,,,
medium,,5 or more,,big,,
,very high,5 or more,,,medium,
,very high,5 or more,,,high,
,very high,5 or more,,small,low,
medium,,,more than 4,,,
,very high,5 or more,more than 4,,,
,,5 or more,more than 4,medium,,unacceptable
,,5 or more,more than 4,,,
medium,,5 or more,,,,acceptable
,very high,5 or more,more than 4,big,low,unacceptable
medium,,,,,,acceptable
,,5 or more,,,,
,high,2,,,,unacceptable
,,2,,,,unacceptable
medium,high,,2,small,high,
medium,,,2,,low,
medium,high,2,,,medium,
medium,high,,,,high,
,,2,,,low,unacceptable
medium,,,2,,medium,unacceptable
,high,2,,big,,
,high,2,4,,low,
medium,,,,small,,unacceptable
,,,4,small,,
,high,,4,medium,,
medium,high,,,,,
,high,,,,high,acceptable
