class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
edible,,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,,white,,white,one,pendant,black,numerous,grasses
edible,bell,smooth,white,,anise,free,close,,brown,,club,smooth,smooth,,white,partial,white,one,,brown,scattered,meadows
,bell,smooth,white,,anise,,close,,white,enlarging,club,,smooth,white,white,partial,,one,,brown,,grasses
edible,bell,scaly,white,bruises,,free,,broad,white,enlarging,,smooth,smooth,white,white,partial,,one,pendant,,,
edible,flat,,white,,anise,,crowded,narrow,white,tapering,bulbous,smooth,,,white,,,one,pendant,purple,,
edible,,,yellow,bruises,anise,,,broad,,enlarging,club,smooth,smooth,,white,partial,white,,,black,scattered,meadows
,flat,smooth,white,bruises,,free,,narrow,pink,tapering,bulbous,,smooth,white,,,white,,pendant,brown,several,
poisonous,convex,,white,bruises,pungent,,close,,,enlarging,equal,,,,,,,one,pendant,brown,several,
edible,flat,fibrous,white,bruises,anise,,crowded,narrow,white,tapering,,smooth,smooth,white,white,,white,one,pendant,brown,several,woods
,convex,scaly,yellow,bruises,almond,,close,,brown,,club,smooth,,white,white,,white,one,pendant,,,
,,smooth,brown,bruises,pungent,,,narrow,,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses
edible,,smooth,yellow,bruises,,free,close,broad,white,enlarging,club,smooth,,white,,partial,,,,,numerous,grasses
edible,,,,,almond,,close,,,enlarging,rooted,,,white,,,white,one,pendant,black,solitary,paths
edible,bell,,yellow,bruises,anise,free,close,,gray,,club,,smooth,,white,partial,,one,pendant,,numerous,
edible,sunken,fibrous,brown,,,free,close,narrow,black,enlarging,equal,smooth,smooth,white,,partial,white,one,,brown,several,urban
,,scaly,brown,bruises,almond,,close,,white,enlarging,rooted,smooth,scaly,white,,partial,white,,pendant,black,solitary,paths
edible,,,yellow,bruises,,free,close,broad,,enlarging,club,smooth,smooth,white,white,,white,one,pendant,,,grasses
edible,convex,fibrous,gray,no,none,free,crowded,,black,tapering,,,fibrous,,,partial,white,one,,,scattered,grasses
edible,flat,fibrous,,no,,free,crowded,broad,,,equal,,fibrous,,white,partial,white,one,,,abundant,grasses
edible,,,,bruises,,free,,broad,white,enlarging,club,smooth,smooth,white,white,partial,,one,,,numerous,meadows
edible,bell,smooth,yellow,,,free,,,black,enlarging,club,smooth,smooth,,,partial,white,one,,black,numerous,grasses
edible,bell,scaly,white,bruises,almond,free,close,broad,,enlarging,club,smooth,smooth,white,,partial,white,one,pendant,black,numerous,
edible,convex,scaly,white,bruises,,free,close,broad,white,,,smooth,smooth,,white,partial,white,one,,,scattered,grasses
edible,convex,smooth,brown,no,none,free,,broad,,tapering,equal,fibrous,smooth,,,partial,,one,evanescent,brown,abundant,
edible,convex,,white,,anise,free,,broad,gray,enlarging,club,smooth,,white,,partial,white,one,pendant,,scattered,
,,fibrous,,,,,close,narrow,black,enlarging,,smooth,smooth,,,,,one,pendant,,,urban
,convex,smooth,,,almond,free,crowded,narrow,,tapering,bulbous,,smooth,,white,,white,one,pendant,,several,woods
edible,convex,scaly,brown,bruises,anise,free,close,broad,white,enlarging,,smooth,scaly,white,white,partial,white,one,pendant,black,scattered,grasses
,,scaly,,bruises,almond,free,close,,black,enlarging,club,,smooth,,,,,one,,brown,numerous,grasses
,convex,scaly,white,,almond,free,close,,black,,,smooth,,,,partial,white,one,pendant,,numerous,grasses
,bell,scaly,,,,,close,broad,brown,enlarging,,smooth,smooth,white,white,partial,white,one,,,,meadows
edible,bell,smooth,yellow,bruises,,,close,broad,gray,,,smooth,,,white,,white,,,black,scattered,grasses
edible,,smooth,,bruises,anise,free,close,,,enlarging,club,smooth,,white,,partial,white,one,,black,scattered,meadows
edible,bell,scaly,yellow,,,free,,broad,brown,enlarging,club,smooth,smooth,,white,,white,one,pendant,,numerous,grasses
,,,brown,,none,free,close,,black,enlarging,equal,smooth,smooth,white,white,partial,,,,brown,solitary,urban
edible,flat,scaly,brown,bruises,,,,broad,brown,enlarging,,smooth,scaly,,white,,white,one,,,solitary,grasses
edible,convex,scaly,white,bruises,almond,free,close,broad,black,,club,smooth,,white,white,,white,,,brown,scattered,
edible,flat,,,bruises,,free,close,broad,,enlarging,rooted,smooth,,,white,partial,,one,,brown,solitary,paths
edible,bell,smooth,white,bruises,almond,,,broad,white,enlarging,,smooth,smooth,white,white,partial,white,one,,brown,scattered,grasses
,bell,smooth,,bruises,almond,free,close,,white,,club,smooth,smooth,,white,partial,white,one,pendant,black,scattered,
,convex,scaly,brown,bruises,,free,,,white,,rooted,,scaly,white,,partial,white,one,,black,solitary,grasses
edible,bell,smooth,white,bruises,almond,free,close,broad,,enlarging,club,smooth,smooth,white,white,,white,one,pendant,black,scattered,grasses
,,,gray,no,none,free,close,narrow,gray,enlarging,equal,smooth,,white,,partial,white,one,,brown,,urban
,bell,smooth,yellow,,,free,close,broad,,enlarging,,,smooth,white,,,,one,pendant,,,grasses
edible,convex,,,bruises,anise,,crowded,,brown,tapering,,smooth,smooth,white,white,,white,,pendant,purple,several,
edible,bell,scaly,,,almond,free,,broad,white,enlarging,,,smooth,,white,partial,white,one,pendant,,scattered,grasses
edible,,,,bruises,anise,free,,,pink,enlarging,,smooth,,white,white,,,one,,brown,scattered,grasses
edible,bell,,white,bruises,anise,,,broad,,enlarging,club,smooth,smooth,white,white,,white,one,pendant,black,numerous,meadows
edible,,scaly,white,bruises,almond,free,,broad,,enlarging,club,,,white,,partial,,,pendant,black,numerous,meadows
edible,bell,scaly,yellow,bruises,almond,,close,,gray,,club,smooth,,,,partial,white,,pendant,brown,scattered,grasses
edible,convex,,,,,free,close,broad,,,club,smooth,,white,white,partial,white,,,brown,numerous,meadows
edible,,smooth,,bruises,anise,free,close,broad,gray,enlarging,,,,,white,partial,white,,pendant,brown,numerous,grasses
poisonous,,,white,bruises,pungent,,close,narrow,pink,,,smooth,smooth,,,partial,white,one,pendant,brown,,urban
edible,sunken,fibrous,,,none,,,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,,urban
,flat,fibrous,brown,no,none,free,close,narrow,,,,smooth,smooth,white,,,white,,pendant,black,several,
,,smooth,yellow,,almond,free,,broad,gray,,club,smooth,smooth,white,white,partial,white,one,pendant,,scattered,meadows
edible,flat,,brown,,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,,,partial,white,one,,black,scattered,
poisonous,convex,scaly,white,bruises,,free,close,narrow,black,enlarging,equal,,smooth,white,white,partial,,one,pendant,black,scattered,grasses
,bell,,white,,,free,close,broad,gray,enlarging,club,smooth,,white,white,partial,,,,brown,scattered,
edible,flat,fibrous,gray,,none,free,close,narrow,,enlarging,,smooth,smooth,,white,,white,one,pendant,black,several,urban
edible,bell,,yellow,,anise,,,broad,gray,enlarging,,smooth,smooth,white,,partial,,one,pendant,brown,numerous,grasses
edible,convex,scaly,brown,bruises,almond,free,close,broad,,enlarging,rooted,,,white,white,partial,,one,,brown,,
,convex,,white,no,none,free,crowded,,pink,,,smooth,fibrous,white,white,partial,,,,,scattered,grasses
,convex,smooth,,,,,,narrow,,tapering,bulbous,smooth,smooth,,white,partial,,,pendant,brown,several,woods
edible,,smooth,,,anise,free,close,broad,white,,,,smooth,white,white,partial,white,,,brown,scattered,meadows
,flat,smooth,,bruises,almond,free,,narrow,white,tapering,bulbous,smooth,smooth,white,white,,white,,pendant,brown,several,woods
edible,,smooth,yellow,,,free,close,broad,black,,club,smooth,smooth,white,white,partial,white,,pendant,brown,numerous,
edible,,fibrous,gray,no,,free,close,narrow,gray,enlarging,equal,,,white,white,partial,,,pendant,,solitary,
edible,bell,,yellow,,almond,free,close,broad,brown,,,smooth,smooth,white,white,partial,white,one,pendant,black,,
,,smooth,white,bruises,anise,free,,,,enlarging,,,smooth,white,,partial,white,one,pendant,,,meadows
edible,convex,scaly,white,bruises,anise,free,,broad,,,club,,,,white,partial,white,,pendant,brown,scattered,meadows
,flat,smooth,white,bruises,almond,free,crowded,narrow,brown,,bulbous,smooth,smooth,,white,partial,white,one,pendant,,several,
,convex,scaly,yellow,bruises,anise,free,,broad,white,enlarging,,smooth,,,white,partial,white,one,pendant,brown,scattered,
edible,bell,smooth,white,bruises,anise,free,,broad,white,enlarging,,smooth,smooth,white,white,partial,white,one,pendant,,scattered,grasses
edible,,smooth,,,almond,free,close,broad,,enlarging,club,,smooth,white,white,partial,white,one,pendant,,numerous,grasses
edible,convex,fibrous,white,,none,free,,broad,chocolate,tapering,,,smooth,,white,partial,,,evanescent,black,scattered,grasses
edible,flat,scaly,brown,bruises,anise,,close,,,enlarging,rooted,smooth,scaly,white,,partial,white,one,pendant,,solitary,paths
poisonous,convex,smooth,white,bruises,pungent,,,narrow,,,equal,smooth,smooth,,,,white,one,pendant,,several,urban
edible,bell,smooth,,,almond,,,,,enlarging,club,smooth,smooth,white,white,partial,white,,pendant,brown,numerous,grasses
edible,bell,,white,bruises,almond,,close,broad,,enlarging,,smooth,smooth,white,,partial,,,,,scattered,
edible,bell,scaly,white,bruises,anise,,close,,,,club,,smooth,,white,,,one,,brown,numerous,
edible,,scaly,,bruises,,free,close,broad,white,enlarging,club,,,,white,partial,white,,pendant,,numerous,grasses
edible,convex,smooth,,bruises,,free,close,,,enlarging,club,smooth,,,white,partial,,one,,black,scattered,grasses
edible,bell,,,bruises,anise,free,close,broad,,enlarging,club,smooth,smooth,,white,partial,white,,,,,meadows
edible,convex,fibrous,yellow,,almond,free,,,brown,tapering,bulbous,,smooth,white,,partial,,one,,,,
edible,,fibrous,,no,none,,close,,brown,enlarging,equal,smooth,smooth,,,partial,white,one,pendant,brown,solitary,urban
edible,flat,,,bruises,,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,grasses
edible,bell,smooth,white,bruises,anise,,close,broad,brown,enlarging,club,smooth,,white,white,,,one,pendant,,numerous,meadows
edible,convex,smooth,yellow,bruises,almond,,close,,,,,smooth,,white,white,partial,,one,pendant,black,scattered,grasses
edible,convex,scaly,,bruises,,free,close,broad,black,enlarging,club,smooth,smooth,,white,partial,,one,,black,scattered,grasses
,,,white,bruises,anise,free,close,broad,white,enlarging,club,,,white,,partial,white,one,pendant,,scattered,grasses
edible,sunken,fibrous,gray,no,,free,close,narrow,pink,enlarging,equal,smooth,,white,,,white,one,pendant,,several,urban
edible,convex,smooth,white,bruises,,free,close,broad,,enlarging,club,smooth,,white,white,partial,,one,pendant,,,meadows
,,smooth,white,,pungent,,,,black,,,smooth,smooth,,white,,white,one,pendant,black,scattered,
edible,,scaly,yellow,bruises,almond,free,close,,brown,enlarging,rooted,smooth,,white,white,,white,one,pendant,brown,,grasses
edible,flat,fibrous,,,almond,free,crowded,,pink,tapering,bulbous,,smooth,white,white,partial,white,one,pendant,,several,
edible,convex,scaly,white,,anise,free,,broad,,enlarging,club,,smooth,,,,white,one,pendant,,,meadows
edible,bell,,white,bruises,anise,free,,broad,brown,enlarging,club,smooth,smooth,,white,partial,white,one,,black,scattered,
edible,,smooth,white,bruises,almond,free,close,broad,gray,enlarging,,smooth,,white,white,partial,white,one,pendant,,,
edible,,smooth,yellow,,almond,free,,broad,gray,enlarging,club,smooth,smooth,,white,partial,,one,pendant,brown,scattered,grasses
poisonous,convex,scaly,brown,bruises,pungent,free,close,narrow,,enlarging,equal,,smooth,white,white,,white,one,,black,several,
edible,bell,smooth,,,,free,close,,,enlarging,club,smooth,smooth,white,,partial,white,one,pendant,,,grasses
,,,,no,,free,close,narrow,,enlarging,,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,urban
poisonous,convex,scaly,,bruises,,free,,,black,enlarging,,smooth,,,white,partial,,one,,black,scattered,urban
edible,convex,scaly,,bruises,anise,,,broad,brown,,,smooth,scaly,white,white,,white,one,pendant,,solitary,paths
edible,flat,,brown,no,none,free,close,narrow,black,,equal,smooth,smooth,white,white,partial,white,one,pendant,,,urban
,,smooth,white,bruises,anise,free,close,,black,enlarging,club,smooth,smooth,,white,partial,white,,pendant,brown,,grasses
edible,convex,fibrous,white,bruises,anise,,crowded,,,tapering,bulbous,smooth,smooth,white,,partial,white,one,pendant,brown,several,
edible,convex,scaly,,bruises,,free,close,,white,,club,smooth,,,white,,,one,pendant,black,,
,,scaly,yellow,,anise,free,close,broad,brown,,,smooth,,white,white,partial,white,one,pendant,brown,,grasses
,convex,scaly,yellow,bruises,anise,free,,broad,brown,enlarging,rooted,,scaly,white,white,,white,one,,black,scattered,grasses
edible,flat,scaly,yellow,,,free,close,,pink,enlarging,,smooth,,white,white,partial,,one,pendant,black,,paths
edible,flat,scaly,yellow,bruises,,free,,broad,,enlarging,,smooth,scaly,,,,white,one,pendant,,solitary,paths
edible,convex,,,,,,,broad,white,enlarging,club,smooth,,white,,partial,white,one,,,scattered,
