class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
edible,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,,smooth,white,white,partial,white,,pendant,black,several,
poisonous,convex,scaly,brown,bruises,,free,close,,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,urban
,convex,fibrous,yellow,,almond,free,crowded,,pink,tapering,bulbous,smooth,smooth,,white,partial,white,one,pendant,brown,several,woods
edible,,,yellow,,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows
edible,bell,scaly,yellow,bruises,,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,,white,one,pendant,brown,scattered,grasses
edible,convex,,yellow,bruises,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,,white,partial,,one,pendant,black,solitary,paths
edible,convex,fibrous,brown,no,none,free,close,,gray,enlarging,,smooth,smooth,white,white,partial,,one,pendant,black,solitary,urban
poisonous,convex,scaly,white,bruises,pungent,,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses
edible,,smooth,yellow,bruises,almond,free,,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,,pendant,black,numerous,
edible,convex,scaly,,bruises,almond,free,close,broad,brown,enlarging,club,,smooth,,white,partial,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,,,partial,white,one,pendant,black,scattered,meadows
,convex,smooth,white,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,,brown,numerous,meadows
edible,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,rooted,,scaly,white,white,partial,white,one,pendant,brown,scattered,
edible,flat,scaly,yellow,bruises,,free,close,,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,scattered,paths
edible,convex,scaly,brown,bruises,almond,free,close,broad,,enlarging,rooted,smooth,scaly,white,white,partial,white,,pendant,black,scattered,grasses
edible,convex,smooth,white,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,,white,partial,,one,pendant,black,,grasses
edible,bell,smooth,white,bruises,,,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,,numerous,meadows
poisonous,convex,scaly,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,,white,partial,white,one,pendant,brown,several,urban
poisonous,convex,smooth,white,bruises,,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,,white,one,pendant,black,several,
,bell,scaly,yellow,bruises,almond,free,close,,white,enlarging,club,smooth,smooth,white,white,partial,white,,pendant,black,,meadows
,,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,,smooth,,white,partial,white,one,evanescent,brown,abundant,
edible,bell,smooth,white,bruises,almond,free,,,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses
edible,convex,smooth,yellow,,,free,close,broad,black,enlarging,club,smooth,smooth,white,,partial,white,one,pendant,black,numerous,grasses
edible,convex,scaly,brown,bruises,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,solitary,paths
edible,sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,,smooth,smooth,white,white,partial,white,one,pendant,brown,several,
edible,bell,scaly,yellow,bruises,almond,free,close,broad,black,,club,smooth,,white,white,partial,white,one,,brown,scattered,meadows
,bell,smooth,yellow,bruises,anise,free,close,broad,,enlarging,club,smooth,smooth,white,,partial,white,one,pendant,brown,scattered,meadows
edible,bell,scaly,yellow,bruises,,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,,white,one,pendant,brown,numerous,meadows
edible,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,,smooth,smooth,white,white,partial,white,one,pendant,brown,,grasses
edible,flat,smooth,brown,no,none,free,,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,,evanescent,,abundant,grasses
edible,convex,,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
edible,flat,scaly,yellow,bruises,almond,free,,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,grasses
edible,convex,scaly,,bruises,almond,free,close,broad,white,enlarging,,,smooth,white,white,partial,white,one,pendant,black,numerous,grasses
edible,convex,fibrous,gray,no,none,free,close,narrow,pink,,,smooth,smooth,white,white,partial,,one,,brown,several,urban
edible,flat,fibrous,yellow,bruises,anise,free,crowded,narrow,pink,tapering,,smooth,smooth,white,white,partial,white,,pendant,brown,several,woods
edible,bell,scaly,white,bruises,anise,free,close,broad,gray,enlarging,,smooth,smooth,white,white,partial,,one,pendant,brown,,meadows
edible,flat,fibrous,yellow,bruises,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,,several,woods
edible,convex,scaly,brown,bruises,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,,,one,pendant,black,scattered,paths
edible,bell,smooth,yellow,bruises,almond,free,close,broad,,enlarging,club,,smooth,,white,partial,white,one,pendant,black,scattered,grasses
,flat,smooth,yellow,bruises,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,partial,white,,pendant,brown,,woods
edible,convex,smooth,white,,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,,white,partial,white,one,pendant,purple,several,woods
edible,flat,scaly,brown,bruises,anise,free,close,broad,,enlarging,rooted,smooth,scaly,white,white,partial,,one,pendant,brown,solitary,paths
,,scaly,,,,free,close,narrow,white,enlarging,equal,smooth,smooth,white,,partial,white,one,,,several,urban
edible,flat,scaly,brown,bruises,almond,free,close,broad,,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,solitary,grasses
edible,convex,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses
poisonous,convex,scaly,,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
,flat,fibrous,gray,,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,,partial,,one,pendant,brown,solitary,urban
edible,convex,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,,smooth,white,white,,white,one,evanescent,,scattered,grasses
edible,convex,scaly,yellow,bruises,anise,free,,,white,enlarging,rooted,smooth,scaly,white,white,partial,white,,pendant,black,scattered,grasses
edible,convex,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,,,partial,white,one,evanescent,black,scattered,grasses
edible,bell,smooth,white,bruises,almond,free,,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,,,scattered,grasses
edible,convex,smooth,white,bruises,anise,free,,broad,,,club,smooth,smooth,white,white,partial,,one,pendant,brown,scattered,
edible,flat,scaly,brown,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,solitary,
edible,sunken,,brown,no,none,free,close,narrow,brown,enlarging,equal,smooth,,white,white,partial,,one,pendant,brown,several,urban
edible,convex,fibrous,brown,no,none,free,close,narrow,brown,,,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,urban
edible,bell,smooth,white,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
edible,convex,,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,,partial,white,one,pendant,,scattered,grasses
edible,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows
edible,convex,smooth,brown,no,none,free,crowded,broad,,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,,abundant,grasses
edible,convex,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,,pendant,brown,scattered,grasses
edible,flat,scaly,brown,,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,,white,,white,one,pendant,brown,scattered,grasses
,convex,smooth,yellow,bruises,almond,free,,broad,brown,,club,smooth,smooth,white,,partial,white,one,,black,numerous,grasses
edible,bell,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses
edible,convex,,white,bruises,almond,,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,,,pendant,,scattered,grasses
edible,convex,fibrous,brown,no,none,,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses
edible,bell,smooth,yellow,,anise,,close,,brown,enlarging,club,smooth,smooth,white,white,partial,white,,,black,numerous,grasses
edible,flat,scaly,,bruises,anise,free,close,broad,white,enlarging,,smooth,scaly,,white,partial,white,one,,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,solitary,paths
edible,bell,scaly,white,bruises,,free,close,broad,,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,,grasses
edible,convex,,,bruises,almond,,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows
edible,convex,scaly,yellow,bruises,almond,free,close,broad,white,,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,solitary,grasses
edible,bell,scaly,white,bruises,anise,,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows
edible,bell,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
edible,convex,smooth,,bruises,almond,free,close,broad,,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,,meadows
edible,convex,smooth,,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,,white,,white,one,,black,numerous,grasses
edible,,fibrous,gray,no,,free,close,narrow,,,equal,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,urban
edible,convex,fibrous,white,bruises,almond,free,crowded,narrow,white,,bulbous,smooth,smooth,white,white,partial,white,one,pendant,purple,several,woods
edible,convex,,yellow,bruises,,free,,broad,brown,,club,,smooth,white,white,partial,white,one,pendant,black,numerous,meadows
poisonous,convex,scaly,white,,pungent,free,close,narrow,brown,,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,
edible,convex,scaly,yellow,bruises,anise,free,close,,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,grasses
edible,sunken,fibrous,gray,no,none,free,close,narrow,,enlarging,equal,smooth,smooth,,white,partial,,one,pendant,brown,solitary,urban
edible,,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,,scaly,white,white,partial,,one,pendant,black,solitary,grasses
,convex,smooth,yellow,bruises,,free,crowded,narrow,pink,tapering,bulbous,,smooth,white,white,partial,white,,pendant,purple,several,woods
edible,sunken,,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,
poisonous,,smooth,white,bruises,pungent,free,close,narrow,black,,equal,smooth,smooth,white,white,,white,one,pendant,,several,grasses
edible,convex,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,,white,white,partial,white,one,pendant,brown,numerous,meadows
poisonous,flat,scaly,brown,bruises,pungent,free,close,narrow,pink,enlarging,,,smooth,white,white,partial,white,one,pendant,black,,grasses
,flat,smooth,gray,no,none,free,crowded,,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses
edible,convex,smooth,yellow,bruises,,,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
edible,convex,smooth,white,no,none,free,crowded,,,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,scattered,grasses
edible,,smooth,yellow,,almond,free,,broad,white,enlarging,club,smooth,,white,white,partial,white,one,pendant,brown,numerous,grasses
edible,flat,fibrous,gray,no,none,free,crowded,broad,chocolate,tapering,,smooth,smooth,white,white,partial,white,,evanescent,brown,abundant,grasses
edible,convex,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,grasses
edible,bell,smooth,white,bruises,anise,free,close,,brown,,club,smooth,smooth,white,white,partial,white,one,,brown,scattered,meadows
edible,bell,smooth,white,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,,one,,brown,scattered,grasses
edible,bell,scaly,white,bruises,,free,close,broad,white,enlarging,,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
edible,flat,,white,bruises,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,purple,,
edible,convex,,yellow,bruises,anise,free,,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows
edible,flat,smooth,white,bruises,,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,,white,,pendant,brown,several,woods
poisonous,convex,,white,bruises,pungent,free,close,,white,enlarging,equal,,smooth,white,white,partial,,one,pendant,brown,several,
edible,flat,fibrous,white,bruises,anise,free,crowded,narrow,white,tapering,,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
edible,convex,scaly,yellow,bruises,almond,,close,broad,brown,,club,smooth,,white,white,partial,white,one,pendant,brown,scattered,grasses
,convex,smooth,brown,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses
edible,bell,smooth,yellow,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,,numerous,grasses
edible,convex,,,bruises,almond,free,close,broad,white,enlarging,rooted,smooth,,white,white,partial,white,one,pendant,black,solitary,paths
edible,bell,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,,numerous,
edible,sunken,fibrous,brown,no,,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,,brown,several,urban
edible,,scaly,brown,bruises,almond,,close,,white,enlarging,rooted,smooth,scaly,white,white,partial,white,,pendant,black,solitary,paths
edible,,scaly,yellow,bruises,,free,close,broad,,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,grasses
edible,convex,fibrous,gray,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,,scattered,grasses
edible,flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,,abundant,grasses
edible,,scaly,,bruises,anise,free,,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,,,numerous,meadows
edible,bell,smooth,yellow,bruises,,free,close,,black,enlarging,club,smooth,smooth,white,,partial,white,one,,black,numerous,grasses
edible,bell,scaly,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,
edible,convex,scaly,white,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,,scattered,grasses
edible,convex,smooth,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,,,partial,,one,evanescent,brown,abundant,grasses
edible,convex,scaly,white,bruises,anise,free,,broad,gray,enlarging,club,smooth,,white,,partial,white,one,pendant,,scattered,
edible,sunken,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,,several,urban
edible,convex,smooth,white,,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,,white,one,pendant,,several,woods
edible,convex,scaly,brown,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,scattered,grasses
edible,bell,scaly,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,white,,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,,partial,white,one,pendant,brown,numerous,grasses
,bell,scaly,,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,,scattered,meadows
edible,bell,smooth,yellow,bruises,,,close,broad,gray,enlarging,,smooth,smooth,,white,partial,white,one,pendant,black,scattered,grasses
edible,bell,smooth,yellow,bruises,anise,free,close,,,enlarging,club,smooth,smooth,white,,partial,white,one,pendant,black,scattered,meadows
edible,bell,scaly,yellow,bruises,almond,free,,broad,brown,enlarging,club,smooth,smooth,,white,partial,white,one,pendant,black,numerous,grasses
,,fibrous,brown,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,,,pendant,brown,solitary,urban
edible,flat,scaly,brown,bruises,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,solitary,grasses
edible,convex,scaly,white,bruises,almond,free,close,broad,black,,club,smooth,smooth,white,white,partial,white,one,,brown,scattered,
edible,flat,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,rooted,smooth,,,white,partial,white,one,pendant,brown,solitary,paths
edible,bell,smooth,white,bruises,almond,free,,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses
,bell,smooth,white,bruises,almond,free,close,,white,enlarging,club,smooth,smooth,,white,partial,white,one,pendant,black,scattered,meadows
edible,convex,scaly,brown,bruises,,free,close,broad,white,,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,solitary,grasses
edible,bell,smooth,white,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
,convex,,gray,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,,partial,white,one,pendant,brown,solitary,urban
edible,bell,smooth,yellow,bruises,anise,free,close,broad,,enlarging,club,,smooth,white,white,partial,,one,pendant,brown,scattered,grasses
edible,convex,,,bruises,anise,,crowded,,brown,tapering,,smooth,smooth,white,white,partial,white,one,pendant,purple,several,
edible,bell,scaly,yellow,bruises,almond,free,,broad,white,enlarging,,smooth,smooth,,white,partial,white,one,pendant,black,scattered,grasses
edible,flat,scaly,yellow,bruises,anise,free,,,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,grasses
edible,bell,scaly,white,bruises,anise,free,,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows
edible,bell,scaly,white,bruises,almond,free,,broad,,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows
edible,bell,scaly,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,,white,partial,white,,pendant,brown,scattered,grasses
edible,convex,,,bruises,,free,close,broad,gray,enlarging,club,smooth,,white,white,partial,white,,,brown,numerous,meadows
edible,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,club,,smooth,white,white,partial,white,,pendant,brown,numerous,grasses
poisonous,convex,,white,bruises,pungent,free,close,narrow,pink,enlarging,,smooth,smooth,white,,partial,white,one,pendant,brown,,urban
edible,sunken,fibrous,brown,,none,,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,urban
edible,flat,fibrous,brown,no,none,free,close,narrow,gray,,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,
,convex,smooth,yellow,bruises,almond,free,,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
edible,flat,,brown,,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,one,,black,scattered,paths
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
edible,bell,smooth,white,bruises,,free,close,broad,gray,enlarging,club,smooth,,white,white,partial,white,one,pendant,brown,scattered,
edible,flat,fibrous,gray,,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,,white,one,pendant,black,several,urban
edible,bell,,yellow,,anise,free,close,broad,gray,enlarging,,smooth,smooth,white,white,partial,,one,pendant,brown,numerous,grasses
edible,convex,scaly,brown,bruises,almond,free,close,broad,white,enlarging,rooted,smooth,,white,white,partial,white,one,,brown,solitary,paths
edible,convex,,white,no,none,free,crowded,broad,pink,,,smooth,fibrous,white,white,partial,,,,black,scattered,grasses
,convex,smooth,white,,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,,,pendant,brown,several,woods
edible,,smooth,white,,anise,free,close,broad,white,enlarging,,smooth,smooth,white,white,partial,white,,pendant,brown,scattered,meadows
edible,flat,smooth,yellow,bruises,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,,white,one,pendant,brown,several,woods
edible,convex,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
edible,,fibrous,gray,no,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,partial,white,,pendant,brown,solitary,
edible,bell,smooth,yellow,,almond,free,close,broad,brown,enlarging,,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
edible,convex,smooth,white,bruises,anise,free,,,gray,enlarging,club,smooth,smooth,white,,partial,white,one,pendant,,numerous,meadows
edible,convex,scaly,white,bruises,anise,free,close,broad,,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
edible,flat,smooth,white,bruises,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
edible,convex,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses
edible,bell,smooth,white,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses
edible,convex,smooth,white,,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,grasses
edible,convex,fibrous,white,no,none,free,,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,,evanescent,black,scattered,grasses
edible,flat,scaly,brown,bruises,anise,free,close,broad,,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,solitary,paths
poisonous,convex,smooth,white,bruises,pungent,,close,narrow,black,,equal,smooth,smooth,white,white,,white,one,pendant,brown,several,urban
edible,bell,smooth,white,,almond,free,,broad,,enlarging,club,smooth,smooth,white,white,partial,white,,pendant,brown,numerous,grasses
