class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
,convex,,yellow,,,,,broad,,enlarging,club,smooth,smooth,white,white,,,one,pendant,brown,scattered,meadows
edible,convex,,white,,,free,,,,tapering,equal,smooth,fibrous,white,,partial,white,one,,black,scattered,
edible,,,yellow,,almond,free,,broad,,,,,,white,white,,white,one,pendant,brown,,
edible,flat,,,no,none,free,crowded,,chocolate,tapering,,smooth,smooth,,white,partial,white,,,brown,,grasses
edible,,smooth,white,,anise,free,close,broad,brown,enlarging,club,smooth,smooth,,white,,,,pendant,black,numerous,grasses
edible,bell,smooth,,,anise,free,,,brown,,club,smooth,smooth,,white,partial,white,one,,brown,scattered,meadows
,bell,smooth,,,anise,,,,white,enlarging,club,,smooth,white,white,partial,,one,,brown,,
,bell,,white,bruises,,free,,broad,white,,,,smooth,white,white,partial,,one,pendant,,,
edible,flat,,white,,anise,,crowded,narrow,white,tapering,,,,,white,,,one,pendant,purple,,
edible,,,yellow,bruises,anise,,,broad,,enlarging,club,smooth,,,white,partial,white,,,black,scattered,meadows
,flat,smooth,white,bruises,,free,,narrow,pink,,bulbous,,smooth,white,,,white,,pendant,brown,several,
poisonous,convex,,white,bruises,pungent,,close,,,enlarging,equal,,,,,,,one,pendant,brown,several,
edible,flat,fibrous,white,bruises,anise,,crowded,narrow,white,tapering,,,smooth,white,white,,,one,pendant,brown,several,woods
,convex,scaly,yellow,bruises,almond,,close,,brown,,,smooth,,white,white,,white,one,pendant,,,
,,smooth,brown,bruises,pungent,,,,,enlarging,equal,,,white,white,,white,one,,,several,grasses
edible,,,yellow,bruises,,free,close,broad,white,enlarging,club,smooth,,white,,partial,,,,,numerous,grasses
edible,,,,,almond,,,,,enlarging,rooted,,,,,,white,one,pendant,black,solitary,paths
edible,bell,,yellow,bruises,anise,free,close,,gray,,,,smooth,,,partial,,one,pendant,,numerous,
edible,sunken,fibrous,brown,,,free,close,narrow,black,enlarging,equal,,smooth,white,,partial,white,one,,,several,urban
,,scaly,,bruises,almond,,close,,,enlarging,rooted,smooth,scaly,,,,,,,black,solitary,paths
edible,,,yellow,bruises,,free,close,broad,,enlarging,club,smooth,smooth,white,white,,white,one,pendant,,,grasses
edible,convex,fibrous,gray,no,none,free,crowded,,black,tapering,,,,,,partial,white,one,,,scattered,
edible,flat,fibrous,,no,,free,crowded,,,,equal,,fibrous,,white,partial,white,one,,,abundant,
edible,,,,bruises,,free,,broad,,enlarging,club,,smooth,white,white,partial,,one,,,numerous,
edible,bell,smooth,yellow,,,free,,,,enlarging,club,,smooth,,,partial,white,one,,black,numerous,grasses
edible,bell,scaly,white,bruises,almond,free,close,,,enlarging,club,smooth,,white,,partial,white,one,pendant,black,numerous,
edible,convex,scaly,,bruises,,free,close,broad,white,,,smooth,smooth,,white,partial,white,one,,,scattered,grasses
edible,convex,smooth,brown,no,none,free,,broad,,tapering,equal,fibrous,,,,partial,,one,evanescent,brown,abundant,
edible,convex,,white,,anise,free,,broad,gray,enlarging,club,smooth,,,,partial,white,one,pendant,,,
,,fibrous,,,,,close,narrow,black,enlarging,,smooth,,,,,,,pendant,,,urban
,,smooth,,,almond,,crowded,narrow,,tapering,bulbous,,smooth,,white,,white,,pendant,,several,woods
edible,convex,scaly,brown,bruises,,free,close,broad,white,,,smooth,scaly,white,white,partial,,one,pendant,,scattered,grasses
,,scaly,,bruises,almond,free,close,,black,,club,,smooth,,,,,one,,brown,numerous,grasses
,,scaly,,,almond,free,close,,black,,,smooth,,,,partial,white,one,pendant,,numerous,
,bell,scaly,,,,,close,broad,brown,enlarging,,smooth,smooth,white,white,partial,,one,,,,
edible,bell,smooth,yellow,bruises,,,close,broad,gray,,,smooth,,,white,,white,,,,scattered,
edible,,smooth,,bruises,anise,free,,,,enlarging,club,smooth,,,,partial,white,one,,black,scattered,
edible,bell,scaly,yellow,,,free,,broad,brown,enlarging,club,,,,white,,,one,pendant,,,grasses
,,,brown,,none,free,close,,black,enlarging,equal,smooth,smooth,white,white,partial,,,,brown,solitary,urban
edible,flat,scaly,,bruises,,,,,brown,enlarging,,smooth,scaly,,white,,white,one,,,solitary,grasses
,convex,scaly,white,bruises,almond,free,close,,,,club,smooth,,white,white,,white,,,brown,scattered,
edible,flat,,,bruises,,free,close,broad,,enlarging,rooted,,,,white,partial,,one,,brown,,paths
edible,bell,,,bruises,,,,broad,white,enlarging,,,smooth,white,,partial,,one,,brown,scattered,grasses
,bell,smooth,,bruises,almond,free,close,,white,,club,smooth,smooth,,,partial,white,one,pendant,black,,
,,scaly,brown,bruises,,,,,white,,rooted,,scaly,white,,partial,white,one,,black,solitary,grasses
edible,bell,smooth,white,bruises,almond,free,close,broad,,enlarging,club,smooth,smooth,,white,,white,one,pendant,,scattered,
,,,gray,no,,free,,narrow,gray,enlarging,equal,smooth,,white,,partial,white,one,,brown,,urban
,,smooth,yellow,,,free,close,broad,,,,,smooth,white,,,,one,pendant,,,grasses
edible,convex,,,bruises,,,crowded,,brown,,,smooth,,white,white,,white,,pendant,,several,
edible,bell,scaly,,,almond,free,,broad,,enlarging,,,smooth,,white,partial,,,pendant,,scattered,grasses
edible,,,,,anise,free,,,,enlarging,,smooth,,white,white,,,one,,brown,scattered,grasses
edible,,,white,,anise,,,broad,,enlarging,club,smooth,smooth,white,white,,white,one,pendant,black,,meadows
edible,,scaly,white,bruises,almond,free,,broad,,enlarging,club,,,white,,partial,,,pendant,black,numerous,
edible,bell,scaly,yellow,bruises,almond,,close,,gray,,club,smooth,,,,partial,white,,pendant,,scattered,grasses
,convex,,,,,free,close,broad,,,club,smooth,,white,white,partial,white,,,brown,,meadows
edible,,smooth,,bruises,anise,free,close,broad,gray,enlarging,,,,,white,partial,white,,pendant,,numerous,grasses
,,,white,bruises,pungent,,close,narrow,pink,,,smooth,,,,partial,white,one,pendant,brown,,urban
,sunken,,,,,,,narrow,gray,enlarging,equal,smooth,smooth,white,,,white,one,pendant,,,urban
,flat,fibrous,brown,no,none,free,close,narrow,,,,smooth,smooth,white,,,white,,pendant,black,several,
,,smooth,yellow,,almond,free,,broad,gray,,,smooth,smooth,white,white,partial,,one,pendant,,scattered,meadows
,flat,,,,almond,free,,broad,,enlarging,rooted,smooth,scaly,,,partial,white,,,,scattered,
poisonous,convex,scaly,,bruises,,free,close,,black,enlarging,equal,,smooth,white,white,partial,,one,pendant,black,scattered,
,,,white,,,free,close,broad,gray,,club,smooth,,white,white,,,,,brown,scattered,
edible,flat,fibrous,gray,,none,free,close,narrow,,enlarging,,smooth,smooth,,white,,white,one,pendant,black,several,urban
edible,bell,,yellow,,anise,,,broad,gray,,,smooth,smooth,,,partial,,one,pendant,brown,,grasses
edible,convex,scaly,brown,bruises,almond,free,close,broad,,enlarging,rooted,,,white,white,partial,,one,,brown,,
,,,,no,none,,crowded,,pink,,,smooth,fibrous,white,white,partial,,,,,scattered,grasses
,convex,smooth,,,,,,narrow,,,bulbous,smooth,smooth,,,partial,,,pendant,brown,several,woods
edible,,,,,anise,free,close,,,,,,smooth,white,white,partial,white,,,,scattered,meadows
,flat,smooth,,,almond,free,,narrow,,tapering,bulbous,smooth,smooth,white,white,,white,,pendant,brown,several,woods
edible,,smooth,,,,free,close,broad,black,,,smooth,smooth,white,,partial,white,,pendant,brown,numerous,
edible,,,gray,no,,free,close,narrow,gray,enlarging,equal,,,white,white,partial,,,pendant,,solitary,
edible,bell,,yellow,,almond,free,close,broad,brown,,,smooth,smooth,white,white,partial,white,one,pendant,black,,
,,,white,bruises,anise,free,,,,enlarging,,,smooth,white,,partial,white,one,pendant,,,meadows
edible,convex,scaly,white,bruises,anise,free,,broad,,,club,,,,white,partial,white,,pendant,brown,,meadows
,flat,smooth,white,,almond,free,crowded,narrow,,,bulbous,smooth,smooth,,white,,white,one,pendant,,several,
,convex,scaly,,bruises,anise,free,,broad,,,,smooth,,,,partial,white,,pendant,brown,scattered,
edible,bell,smooth,,bruises,anise,free,,,white,enlarging,,smooth,,white,white,partial,white,,pendant,,scattered,grasses
edible,,smooth,,,almond,free,close,,,enlarging,club,,smooth,white,white,partial,white,one,pendant,,numerous,grasses
edible,,fibrous,white,,none,free,,broad,chocolate,tapering,,,smooth,,white,,,,evanescent,black,,
,flat,scaly,brown,bruises,anise,,close,,,enlarging,rooted,smooth,scaly,white,,partial,white,one,pendant,,solitary,paths
,convex,smooth,white,bruises,,,,narrow,,,equal,smooth,smooth,,,,white,one,pendant,,several,
,bell,smooth,,,almond,,,,,,club,,smooth,white,white,partial,white,,pendant,brown,numerous,grasses
edible,bell,,white,bruises,almond,,close,,,enlarging,,smooth,,white,,,,,,,scattered,
edible,,scaly,white,bruises,,,close,,,,,,smooth,,white,,,one,,brown,numerous,
edible,,scaly,,bruises,,free,close,broad,white,enlarging,club,,,,,,white,,pendant,,,grasses
edible,convex,smooth,,bruises,,,close,,,enlarging,club,,,,,partial,,one,,black,,grasses
,bell,,,bruises,anise,free,close,broad,,,,smooth,,,white,partial,,,,,,meadows
edible,convex,,yellow,,almond,free,,,brown,,bulbous,,smooth,,,partial,,,,,,
edible,,fibrous,,,none,,close,,brown,enlarging,equal,smooth,smooth,,,partial,,,pendant,,solitary,urban
edible,flat,,,bruises,,free,close,broad,,enlarging,rooted,smooth,,white,white,partial,white,,pendant,brown,,grasses
edible,bell,smooth,white,bruises,,,close,broad,brown,enlarging,,smooth,,white,white,,,one,pendant,,numerous,meadows
edible,convex,smooth,yellow,bruises,almond,,close,,,,,smooth,,white,white,partial,,one,pendant,black,scattered,grasses
edible,,scaly,,bruises,,,close,broad,,enlarging,club,,smooth,,white,partial,,one,,black,scattered,grasses
,,,,bruises,anise,free,close,broad,white,enlarging,club,,,white,,,white,one,pendant,,,grasses
edible,sunken,fibrous,gray,no,,free,close,narrow,pink,enlarging,,smooth,,white,,,white,one,pendant,,several,
edible,convex,smooth,,bruises,,free,,broad,,enlarging,club,smooth,,white,white,partial,,one,pendant,,,meadows
,,smooth,white,,pungent,,,,black,,,smooth,smooth,,white,,white,one,pendant,,,
,,scaly,yellow,bruises,almond,free,close,,brown,enlarging,rooted,smooth,,,white,,white,one,pendant,brown,,
edible,flat,fibrous,,,almond,,crowded,,pink,tapering,bulbous,,smooth,white,white,partial,white,one,pendant,,,
edible,convex,scaly,,,anise,free,,broad,,,club,,smooth,,,,white,one,pendant,,,meadows
edible,bell,,white,bruises,,free,,broad,brown,enlarging,club,,smooth,,,partial,white,one,,black,scattered,
,,,white,bruises,almond,free,,broad,gray,enlarging,,smooth,,,white,,white,one,pendant,,,
edible,,,,,almond,free,,broad,gray,enlarging,club,smooth,smooth,,white,partial,,,pendant,brown,scattered,grasses
poisonous,convex,scaly,brown,bruises,pungent,,close,narrow,,enlarging,equal,,smooth,white,white,,white,one,,black,several,
edible,bell,,,,,free,close,,,,club,,smooth,white,,partial,white,one,pendant,,,grasses
,,,,no,,free,close,narrow,,enlarging,,smooth,smooth,white,white,partial,,one,pendant,,solitary,urban
poisonous,convex,scaly,,bruises,,free,,,black,enlarging,,smooth,,,white,partial,,,,,scattered,urban
,convex,scaly,,bruises,anise,,,broad,brown,,,smooth,scaly,white,white,,white,one,pendant,,solitary,paths
edible,flat,,brown,no,none,free,close,,black,,,,smooth,white,white,partial,white,,pendant,,,urban
,,smooth,white,bruises,anise,free,close,,black,enlarging,club,smooth,,,white,,white,,pendant,brown,,
edible,convex,fibrous,,bruises,anise,,crowded,,,,,,smooth,,,,white,one,pendant,brown,several,
edible,convex,scaly,,bruises,,free,close,,white,,club,smooth,,,white,,,,pendant,black,,
,,scaly,yellow,,,,close,broad,brown,,,,,white,white,partial,white,,pendant,,,grasses
,convex,,yellow,bruises,,free,,broad,brown,enlarging,rooted,,scaly,white,white,,white,one,,black,,grasses
edible,flat,scaly,yellow,,,free,,,pink,,,smooth,,white,white,partial,,one,pendant,black,,paths
edible,flat,scaly,yellow,bruises,,free,,broad,,enlarging,,smooth,scaly,,,,white,one,pendant,,solitary,paths
edible,convex,,,,,,,,white,enlarging,club,smooth,,white,,partial,,one,,,scattered,
edible,convex,smooth,white,bruises,,free,close,broad,,enlarging,club,smooth,smooth,,,partial,white,one,,brown,numerous,meadows
poisonous,,smooth,,bruises,,free,,narrow,brown,enlarging,,,,white,,partial,white,one,pendant,black,,urban
edible,,fibrous,white,bruises,,free,,,pink,tapering,bulbous,,smooth,white,,partial,,one,pendant,,,
,convex,smooth,,,anise,free,,,white,,,smooth,smooth,white,white,partial,,,,,scattered,grasses
edible,convex,,,bruises,anise,free,crowded,narrow,pink,,bulbous,smooth,,white,,partial,,one,,purple,,
edible,convex,,,bruises,almond,free,,broad,,,club,smooth,smooth,,white,partial,white,,,,scattered,
edible,,scaly,,bruises,anise,,close,broad,white,enlarging,,,,,,,white,one,,,solitary,
,,smooth,brown,,none,free,crowded,broad,pink,,,fibrous,smooth,white,white,partial,,one,evanescent,black,scattered,grasses
,flat,,yellow,bruises,,free,close,broad,,enlarging,rooted,smooth,,white,white,,,,pendant,brown,solitary,
poisonous,,,brown,,pungent,,close,narrow,pink,,,smooth,,white,white,,,one,pendant,brown,scattered,grasses
,sunken,fibrous,,,,,close,,,,equal,smooth,smooth,,white,partial,,,,,several,urban
edible,bell,scaly,yellow,bruises,,,close,,,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,
,,smooth,,,anise,,close,,brown,enlarging,club,smooth,smooth,,,,white,one,pendant,,scattered,grasses
edible,bell,,white,bruises,,,close,broad,black,,club,smooth,smooth,white,,partial,,one,pendant,brown,numerous,meadows
edible,flat,fibrous,brown,no,,free,,narrow,,enlarging,equal,smooth,smooth,,,,white,one,pendant,,,urban
edible,convex,smooth,white,,almond,free,,broad,,enlarging,,smooth,,white,white,partial,white,one,,,,meadows
,bell,scaly,,,,free,,,gray,enlarging,,,,white,white,,,one,pendant,,numerous,
,bell,scaly,white,bruises,almond,free,close,broad,gray,,club,smooth,smooth,,white,partial,,one,,,numerous,meadows
edible,,scaly,,,,free,close,broad,white,,rooted,smooth,scaly,,white,partial,white,one,,brown,,grasses
poisonous,,scaly,white,,pungent,,close,narrow,black,enlarging,equal,smooth,,white,white,,white,one,pendant,,,
edible,,smooth,,bruises,,free,,broad,,enlarging,club,,smooth,white,,partial,,one,pendant,,numerous,grasses
edible,convex,scaly,white,,almond,free,close,broad,brown,enlarging,club,,smooth,white,,partial,white,,,,scattered,
,flat,,,,anise,free,,narrow,white,,,,smooth,white,,partial,,one,pendant,,several,
