age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,school,sex,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic
0.1428571428571428,0.5,,,,,0.75,0.5,,,0.25,1.0,,0.5263157894736842,,,F,U,,T,other,at_home,course,father,yes,no,,,,yes,,11.0
0.0,,0.75,0.0,0.3333333333333333,,1.0,0.25,0.25,0.0,0.0,1.0,0.125,0.5263157894736842,,GP,F,U,,A,,other,,mother,yes,,yes,yes,yes,yes,yes,11.0
0.1428571428571428,0.75,,0.0,0.3333333333333333,0.0,0.25,0.5,1.0,,0.75,,,,,GP,,U,,,,,home,mother,no,yes,,no,yes,yes,,
,,0.75,0.0,1.0,0.0,0.75,0.25,0.25,,,,0.0625,0.894736842105263,,GP,,U,,,health,,,,no,no,,yes,yes,,yes,
,1.0,,0.0,0.3333333333333333,,0.75,,0.5,0.25,0.25,1.0,,0.5789473684210527,0.631578947368421,GP,M,U,,,teacher,other,home,mother,,,no,,yes,yes,no,
0.0,1.0,1.0,,0.3333333333333333,0.0,,,,0.0,0.0,0.5,,,0.631578947368421,GP,F,,GT3,T,services,teacher,other,father,,,no,yes,,,,12.0
,,,,,0.0,,0.5,,0.25,0.5,0.75,0.0,,,GP,F,U,LE3,T,services,,course,mother,,yes,,no,,yes,yes,
0.0,1.0,0.5,,,,0.75,0.5,0.5,0.0,0.0,1.0,,0.8421052631578947,,GP,F,U,,,,,,mother,no,,,no,yes,yes,yes,16.0
0.0,1.0,,0.3333333333333333,,0.0,,1.0,1.0,0.5,0.75,,,0.5263157894736842,,GP,,U,LE3,A,,health,other,father,no,no,,no,,,,
,,1.0,0.0,0.0,0.0,,0.5,0.75,,0.5,,0.0,0.6842105263157894,,,F,U,,T,,services,course,,,,,,yes,,yes,12.0
0.0,0.75,,0.0,0.0,0.0,,0.5,0.75,,,0.0,0.0,0.6842105263157894,0.631578947368421,,F,U,,,other,,other,,,,no,no,yes,yes,,13.0
0.1428571428571428,0.5,,0.0,,,1.0,0.5,,,0.0,0.25,0.0625,0.631578947368421,0.6842105263157894,,F,U,,A,,other,other,mother,no,no,no,yes,,yes,,12.0
0.0,1.0,,,0.3333333333333333,,,,0.25,0.0,,,,0.7894736842105263,0.7368421052631579,,,,GT3,A,,,,mother,,yes,no,,,,yes,15.0
0.0,1.0,,0.0,0.3333333333333333,,0.5,0.25,0.25,0.0,0.0,1.0,,,0.7894736842105263,,,U,GT3,T,teacher,,,,no,yes,,yes,yes,yes,no,
0.0,0.25,0.5,0.0,0.3333333333333333,0.0,,0.5,0.25,0.0,,,,0.7368421052631579,0.6842105263157894,,M,U,LE3,T,other,at_home,,father,yes,yes,no,yes,,yes,,
0.1428571428571428,1.0,,0.0,0.3333333333333333,,0.75,0.25,0.5,,,1.0,0.0625,,0.7894736842105263,,F,,GT3,,,,,mother,no,,yes,no,yes,yes,,16.0
0.1428571428571428,,1.0,,0.3333333333333333,,0.25,0.75,0.75,,0.5,0.75,0.0,0.894736842105263,0.8421052631578947,GP,,R,GT3,,,,other,mother,no,yes,no,,,yes,,
0.1428571428571428,0.25,0.25,1.0,0.0,0.0,1.0,1.0,,1.0,1.0,,0.0,0.5263157894736842,,,,,,T,,services,,father,,yes,no,yes,,yes,yes,16.0
,,0.5,0.0,0.3333333333333333,0.0,0.75,,0.5,,0.0,0.0,0.0,,,,,,LE3,,,services,reputation,father,,no,,,yes,,yes,10.0
,1.0,,0.0,0.6666666666666667,0.0,0.5,,0.75,,0.75,0.75,,0.7368421052631579,,GP,F,U,GT3,,,,,,yes,yes,no,,yes,yes,,13.0
0.0,,0.75,0.0,,0.0,0.75,0.75,0.75,0.25,0.75,0.25,,0.6842105263157894,0.631578947368421,GP,,U,,,,,reputation,father,,no,no,yes,,yes,yes,12.0
,,0.75,0.6666666666666667,0.3333333333333333,0.0,,0.75,0.5,,0.25,0.0,,0.8421052631578947,,GP,F,U,LE3,,teacher,services,,mother,no,,no,yes,,yes,,
,1.0,1.0,,1.0,0.0,,0.5,0.5,1.0,1.0,0.5,0.0,0.5789473684210527,0.631578947368421,,M,U,,,other,services,reputation,mother,,yes,,yes,no,yes,yes,
0.1428571428571428,0.75,0.25,,1.0,0.0,,,0.5,0.0,,,,,0.47368421052631576,GP,F,U,,T,services,other,course,,yes,,no,,,yes,,10.0
,0.5,0.5,0.3333333333333333,,,,,0.5,0.0,0.5,0.75,0.0,0.5789473684210527,,GP,F,R,,T,health,services,reputation,,yes,,no,,yes,yes,,11.0
,0.75,0.25,0.3333333333333333,,0.0,0.75,,0.25,,0.5,,0.1875,0.7894736842105263,,,,R,,T,,,reputation,,no,yes,no,no,no,,,
0.1428571428571428,,0.25,0.3333333333333333,1.0,0.0,,0.5,0.25,,,1.0,0.0625,0.6842105263157894,0.5789473684210527,GP,M,U,,T,other,other,reputation,father,no,yes,no,no,,yes,,
0.0,1.0,0.5,0.0,1.0,0.0,0.5,,,,0.0,,,,0.47368421052631576,,M,,GT3,,,other,,,,,,,yes,yes,yes,
0.0,,,0.0,,,0.5,0.5,0.75,0.25,0.75,,,,0.5789473684210527,GP,F,R,GT3,,other,other,reputation,,yes,,,,no,yes,,
0.1428571428571428,,,0.0,0.0,,,,0.25,0.25,0.25,,0.0,,0.6842105263157894,GP,M,U,GT3,,other,,reputation,,,no,,yes,yes,,,14.0
,0.75,0.75,0.0,0.3333333333333333,0.0,0.75,,,0.25,0.75,1.0,0.125,0.5789473684210527,0.5789473684210527,GP,,U,,T,other,services,,,yes,,no,,,,yes,11.0
,,0.75,,0.3333333333333333,0.0,,,0.5,0.25,0.5,,0.0,,0.5789473684210527,GP,,,,,,,home,mother,,yes,,yes,,yes,yes,11.0
0.0,,0.0,,,,0.5,,0.5,0.0,0.0,0.0,0.0,,,,,,,T,teacher,,course,,no,no,no,yes,yes,yes,yes,11.0
0.1428571428571428,,,,1.0,0.0,,0.25,0.5,0.0,0.5,0.5,,0.6842105263157894,,GP,,U,GT3,,other,other,reputation,mother,no,,,,yes,,yes,13.0
0.2857142857142856,0.5,0.25,0.3333333333333333,0.0,1.0,0.75,1.0,,,0.0,0.5,0.0,0.47368421052631576,,GP,M,U,GT3,T,,other,home,mother,yes,,,,yes,,,10.0
,0.75,1.0,0.0,,,0.25,0.75,0.5,,0.25,0.5,0.4375,0.631578947368421,0.5789473684210527,GP,,U,,T,at_home,,,,no,yes,,no,yes,,,11.0
0.0,0.5,,,0.0,,,,0.25,0.0,0.5,0.5,,0.5789473684210527,,GP,M,U,,T,,services,course,father,yes,yes,,yes,,yes,yes,12.0
0.0,0.5,,0.0,,0.0,,,0.25,,0.25,,,0.5263157894736842,,,M,,GT3,,,other,,,,,no,,no,yes,yes,9.0
,0.75,,0.0,0.3333333333333333,,0.75,0.75,,,0.0,1.0,0.125,0.631578947368421,0.5789473684210527,GP,,,LE3,T,,,reputation,mother,no,yes,,,,,yes,11.0
0.0,0.5,,0.3333333333333333,0.3333333333333333,0.0,,0.5,0.5,,,0.75,0.0625,,0.631578947368421,,M,,LE3,,,,,mother,,no,,,,,,13.0
0.0,0.25,0.25,0.0,,0.0,0.75,0.5,0.25,,0.5,0.75,0.0625,0.6842105263157894,,,F,U,,,,,home,father,,,,,no,yes,yes,
0.0,1.0,1.0,0.3333333333333333,,,,,,0.25,0.5,1.0,,0.631578947368421,0.5789473684210527,GP,F,U,GT3,,,,,,no,no,no,,yes,yes,,12.0
,,0.5,,0.3333333333333333,0.0,0.75,,,,0.25,0.25,,0.6842105263157894,0.5789473684210527,,F,U,,,at_home,other,course,mother,,,no,,,yes,no,11.0
0.0,,0.5,,0.6666666666666667,0.0,1.0,0.5,0.5,,0.5,0.0,,0.7894736842105263,0.7894736842105263,,F,U,GT3,T,other,other,reputation,,no,yes,,yes,yes,,yes,15.0
0.1428571428571428,,,,0.3333333333333333,,0.75,,,0.0,0.0,,0.1875,,0.5263157894736842,GP,,,,T,services,,reputation,,,no,no,yes,no,,yes,
0.1428571428571428,,1.0,,,0.0,,0.0,,,,,0.1875,,0.47368421052631576,GP,M,U,LE3,A,,,reputation,mother,no,yes,no,no,yes,,no,
,0.75,,,,0.0,0.75,0.5,0.5,0.0,,0.75,0.0625,0.47368421052631576,,GP,F,,GT3,,,other,,mother,no,,no,,,,,
0.0,1.0,,0.0,0.0,0.0,0.75,,,0.0,0.5,,,0.7368421052631579,0.6842105263157894,GP,F,,GT3,T,,other,reputation,,no,no,no,,,yes,,13.0
0.1428571428571428,,0.25,0.0,,0.0,0.5,0.5,0.5,0.25,0.5,0.25,0.0,0.631578947368421,,GP,,,,T,other,other,home,father,yes,yes,,,yes,yes,,
0.1428571428571428,,0.5,0.3333333333333333,0.3333333333333333,,1.0,0.5,0.5,0.0,,0.0,0.0625,0.6842105263157894,,GP,F,,,T,,,,mother,no,yes,,yes,yes,yes,yes,
0.0,,0.5,,,,0.75,,0.75,0.0,,0.75,,0.5789473684210527,0.631578947368421,,,,LE3,T,services,health,,mother,no,,,,yes,yes,,12.0
,0.25,,0.3333333333333333,1.0,0.0,0.5,,,,,0.0,,,0.6842105263157894,GP,F,,,T,,,home,mother,yes,,,yes,,yes,yes,13.0
,,0.75,0.3333333333333333,0.0,,,0.5,0.5,0.0,,0.75,0.1875,0.47368421052631576,0.5789473684210527,,M,,GT3,T,,other,,mother,yes,,,yes,,yes,yes,11.0
,0.5,0.25,,0.3333333333333333,0.0,0.75,,1.0,,,1.0,0.0,,,,,,,T,other,other,course,,no,yes,no,no,yes,yes,,12.0
0.1428571428571428,1.0,1.0,,,0.0,1.0,0.5,,,0.25,0.0,0.125,0.631578947368421,0.6842105263157894,,F,U,GT3,T,other,,reputation,,no,,,yes,,yes,yes,
0.1428571428571428,1.0,0.75,,,,,,1.0,0.0,0.0,0.5,,,,,F,U,,,other,at_home,,mother,yes,,,no,yes,yes,,
0.1428571428571428,1.0,,0.0,0.0,0.0,0.75,1.0,1.0,1.0,,0.75,,0.47368421052631576,,,,,GT3,T,services,,,,,yes,,,,,yes,8.0
,,,,,0.0,0.75,0.75,0.5,0.0,0.0,0.75,0.0,,0.8421052631578947,GP,M,U,GT3,,services,,,,no,,,yes,,yes,yes,
0.0,,1.0,0.0,0.0,0.0,,,0.5,0.0,0.0,1.0,0.0625,0.631578947368421,,GP,M,,GT3,T,services,,,mother,no,,,yes,,yes,yes,
0.0,,,0.3333333333333333,0.3333333333333333,0.0,0.75,,,,,,,0.5789473684210527,0.5263157894736842,GP,F,,,T,services,,home,mother,yes,,no,no,yes,yes,yes,10.0
,0.75,1.0,0.0,,,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.8421052631578947,0.8421052631578947,,M,U,,,,,,mother,no,yes,,,yes,,yes,16.0
0.0,,0.75,,1.0,0.0,,,,0.0,,0.75,,0.5263157894736842,0.5263157894736842,GP,F,,,A,,health,,,,no,,no,,yes,,10.0
0.0,,0.5,0.0,1.0,0.0,,0.0,,,0.0,,0.125,0.5263157894736842,0.5263157894736842,GP,,,GT3,,,,course,mother,,yes,,,yes,yes,yes,
0.1428571428571428,0.75,0.75,0.0,0.6666666666666667,0.0,1.0,0.5,0.5,0.0,0.0,,,0.6842105263157894,0.7368421052631579,GP,,U,,T,services,other,home,father,no,,no,yes,yes,,yes,
0.0,1.0,1.0,1.0,,,0.0,0.5,,0.5,1.0,0.0,0.25,,,GP,M,R,GT3,T,other,other,home,father,,yes,,yes,yes,yes,,
,1.0,,0.0,0.6666666666666667,0.0,1.0,,1.0,0.0,,0.75,,0.7894736842105263,0.7894736842105263,,F,U,LE3,T,health,,,,no,yes,no,yes,,,,
,1.0,,,,,1.0,1.0,0.5,0.0,,0.75,,,,,,,LE3,,,teacher,,,no,,,yes,,yes,yes,
0.1428571428571428,0.75,,0.0,,0.0,,0.0,,0.0,,0.25,0.125,0.5789473684210527,0.5789473684210527,GP,F,R,,T,services,other,reputation,,,yes,no,yes,yes,yes,,11.0
0.1428571428571428,,0.5,0.0,,,0.5,,0.25,0.0,0.0,1.0,,0.42105263157894735,,GP,,U,,,,,home,,yes,no,no,,,yes,,
0.0,1.0,0.5,,0.0,,,1.0,,,,0.5,0.3125,0.9473684210526315,0.894736842105263,,M,,,T,teacher,,,,,no,no,no,yes,,yes,18.0
0.0,0.5,0.25,,0.3333333333333333,,,,,0.0,0.0,1.0,0.125,0.5263157894736842,,,M,R,GT3,,,services,,,no,,no,,,,yes,
0.1428571428571428,,1.0,,0.3333333333333333,0.0,1.0,,,,0.25,1.0,0.1875,,,,M,U,GT3,,teacher,teacher,,father,no,yes,no,,,yes,,14.0
0.0,1.0,1.0,,,,0.75,,,0.0,0.0,,,0.8421052631578947,,,,U,,T,other,teacher,,father,no,yes,no,yes,yes,yes,no,
,,0.75,0.3333333333333333,0.0,0.0,1.0,0.75,,0.0,,,,,0.7368421052631579,GP,,U,GT3,,other,,home,father,,,no,yes,,yes,yes,15.0
0.2857142857142856,0.25,0.75,0.6666666666666667,,,,0.25,0.75,,0.75,1.0,,0.631578947368421,,,M,R,,T,other,,,father,,yes,no,yes,,yes,yes,
,,1.0,0.0,,0.0,,0.75,,0.0,0.25,0.75,,,0.6842105263157894,,,,GT3,T,other,,,father,no,,no,,yes,,yes,14.0
0.0,,0.5,0.0,,0.0,0.5,0.25,0.5,,0.25,,0.0,0.7368421052631579,0.7368421052631579,,,U,GT3,T,at_home,services,,,,,no,no,no,,,
,0.5,,0.0,,0.0,1.0,,0.75,0.0,0.25,,0.1875,0.7368421052631579,0.6842105263157894,GP,M,U,GT3,T,services,services,home,father,,yes,no,yes,yes,,yes,
0.1428571428571428,0.5,1.0,,0.3333333333333333,,,,,0.0,0.25,,0.0625,,0.631578947368421,GP,F,U,LE3,,other,,course,father,no,,no,,yes,,,13.0
0.1428571428571428,,,0.0,0.0,0.0,,,,,0.75,1.0,,,,GP,M,,,T,health,other,,,no,,,yes,,yes,,
0.1428571428571428,,0.5,0.0,,0.0,,0.75,,0.0,,1.0,0.0,0.631578947368421,,,F,U,,T,,other,,,no,,no,no,,,yes,
0.0,0.75,1.0,,,,,1.0,1.0,,,,0.0625,,0.47368421052631576,,M,U,,,services,,home,father,yes,no,,,yes,,yes,
,0.75,,0.0,0.3333333333333333,0.0,1.0,0.5,0.25,,0.0,0.0,0.0,0.5263157894736842,,GP,F,,LE3,A,other,other,home,,yes,,no,yes,,,yes,
0.5714285714285712,,,0.0,0.3333333333333333,0.6666666666666666,,0.75,0.25,0.0,0.0,1.0,0.0,,0.5263157894736842,,F,,GT3,T,,,,other,no,,no,,no,no,,11.0
,,,,0.0,0.0,0.5,,,0.25,1.0,,0.25,0.7368421052631579,0.7368421052631579,GP,,,GT3,,teacher,teacher,,mother,,no,no,yes,yes,yes,yes,15.0
,,,,0.6666666666666667,0.0,0.5,,0.5,,0.25,0.0,,,,GP,M,U,,T,other,other,,,no,,,,no,yes,yes,13.0
0.0,,1.0,,0.6666666666666667,,,,,,,1.0,0.0,0.5263157894736842,0.5789473684210527,GP,F,R,,,services,teacher,course,,,yes,,no,yes,yes,yes,12.0
0.4285714285714284,0.5,0.25,,,,1.0,0.75,1.0,,,1.0,,0.5263157894736842,0.47368421052631576,GP,,,,T,services,,reputation,mother,,yes,no,,,no,yes,8.0
0.2857142857142856,0.5,,0.6666666666666667,0.0,,0.5,0.25,,0.0,,,,0.5789473684210527,0.5263157894736842,,F,,LE3,A,other,other,,,no,yes,,,,yes,,11.0
0.0,0.25,,0.6666666666666667,,0.0,0.75,,0.5,0.0,0.25,,0.1875,0.5789473684210527,0.631578947368421,GP,,U,GT3,T,at_home,,,,,yes,,,no,yes,yes,13.0
,0.5,0.5,,0.0,0.0,,,,,0.5,1.0,,0.6842105263157894,0.631578947368421,GP,F,,LE3,T,other,other,,father,,yes,no,,yes,,yes,12.0
0.1428571428571428,0.75,1.0,0.0,0.0,0.0,,0.25,,0.0,,,0.375,0.7894736842105263,,,F,U,,,services,,course,father,no,,no,no,yes,yes,yes,14.0
0.1428571428571428,0.5,0.25,1.0,,0.0,0.5,,,0.0,0.0,0.25,,0.47368421052631576,,GP,,,,,,,course,mother,,no,,no,,,no,11.0
0.1428571428571428,0.5,0.5,,,,,0.5,0.75,,0.0,1.0,,,,,,U,,,other,other,home,,,no,,,yes,yes,no,11.0
0.0,,,,,0.0,1.0,0.5,,,,,,0.631578947368421,0.5789473684210527,GP,M,R,,,,teacher,course,,no,yes,,,yes,yes,,11.0
,1.0,1.0,0.0,0.6666666666666667,0.0,0.75,,0.5,,0.0,1.0,0.125,0.6842105263157894,0.7368421052631579,,F,,,,services,at_home,course,mother,,,no,yes,yes,,yes,15.0
,0.75,1.0,0.6666666666666667,,0.0,,,1.0,0.25,,1.0,0.0625,0.5263157894736842,0.47368421052631576,GP,M,,,T,at_home,other,,,no,,no,,yes,yes,,10.0
,0.25,0.25,1.0,0.3333333333333333,0.0,,,0.5,0.0,0.0,0.5,0.0,0.7368421052631579,0.6842105263157894,GP,F,,,,,,course,mother,no,yes,,,,yes,,
0.4285714285714284,0.75,,0.3333333333333333,0.0,0.0,0.5,,,0.75,1.0,0.75,0.0625,0.5789473684210527,0.5789473684210527,GP,M,,LE3,,,services,,,,no,no,yes,,yes,yes,
0.4285714285714284,,0.5,0.0,0.6666666666666667,,0.75,0.5,0.5,1.0,,,0.3125,0.631578947368421,0.5789473684210527,,F,,GT3,A,other,,course,,,yes,no,,no,yes,yes,
0.1428571428571428,,,,0.0,,,,0.5,0.0,,0.0,0.25,0.631578947368421,,GP,F,R,,T,other,services,,,no,yes,,yes,,yes,no,11.0
0.1428571428571428,,0.75,,0.0,0.0,0.75,,0.25,,,1.0,0.125,0.47368421052631576,,,F,U,,A,other,other,course,other,no,yes,,yes,no,yes,,10.0
0.1428571428571428,,0.25,0.0,,0.6666666666666666,0.75,0.75,,,0.5,,0.0,,,,M,U,,,,other,course,mother,no,no,,no,,,no,10.0
0.0,1.0,1.0,,0.0,0.0,0.75,0.5,,0.0,0.0,,0.1875,0.6842105263157894,0.7368421052631579,GP,,,,T,,,course,mother,no,,,,yes,yes,yes,
0.0,,,0.6666666666666667,0.0,,,1.0,,,,,,0.42105263157894735,,GP,F,R,GT3,T,,other,course,mother,no,no,no,,yes,yes,yes,
0.0,,,0.3333333333333333,,0.0,,0.25,,,,,,,0.5789473684210527,,M,,GT3,T,teacher,,,father,,,,,,yes,,11.0
,,0.75,,0.3333333333333333,0.0,,0.5,,0.25,,0.0,,0.47368421052631576,0.42105263157894735,GP,F,U,GT3,,,,,,no,,no,,,yes,no,9.0
0.1428571428571428,,1.0,,,0.0,,,0.5,0.0,,,,,0.6842105263157894,,M,,GT3,,services,,course,,,yes,no,yes,yes,yes,,
,0.5,,,0.0,0.0,,,,,,0.25,0.125,0.631578947368421,,GP,,U,LE3,,,services,,father,,yes,,,yes,,,
,,,0.0,,0.0,,,0.25,,0.0,,0.0625,0.6842105263157894,0.6842105263157894,GP,F,,,T,,,course,,no,yes,no,yes,,,yes,
0.1428571428571428,0.25,0.25,,0.0,0.0,0.5,,0.75,0.5,0.5,0.0,,0.5263157894736842,0.5789473684210527,,F,U,LE3,T,at_home,at_home,,,no,no,no,no,,yes,,11.0
0.2857142857142856,,,0.0,0.0,,1.0,0.75,1.0,0.0,0.25,1.0,0.6875,0.47368421052631576,,GP,,,,,other,,home,mother,no,,no,no,yes,yes,yes,6.0
,0.25,,0.0,,,0.75,0.75,,0.0,0.25,,0.0,,0.631578947368421,GP,,U,,T,other,services,,,,,no,no,yes,yes,yes,12.0
0.0,0.5,,,0.0,,,0.75,0.25,0.0,,,0.0,0.5789473684210527,0.5263157894736842,GP,F,U,,A,at_home,other,home,mother,,yes,,yes,,,yes,10.0
0.0,,0.5,,0.3333333333333333,0.3333333333333333,0.5,,0.25,,0.0,,0.0625,,0.5789473684210527,GP,F,,GT3,T,health,,home,father,,,no,,,yes,yes,
0.0,,,,0.3333333333333333,,,0.5,0.25,,0.0,,0.1875,0.6842105263157894,0.631578947368421,,,,,,at_home,other,course,mother,no,yes,,no,no,yes,yes,
